rank,2023 RANK,Institution_name,location_QS,SIZE,FOCUS,RESEARCH,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,scores_overall_QS,Rank,scores_overall_THE,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location_THE,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,Country
44.0,42.0,Zhejiang University,China (Mainland),XL,FC,VH,4.0,A,73.8,81.0,95.7,36.0,66.5,198.0,97.6,37.0,97.7,120.0,26.5,456.0,74.7,174.0,37.7,194.0,51.5,297.0,77.8,55.0,75.0,560.0,70.2,42.0,75.3,45.0,78.7,350.0,99.0,69.0,65.5,475.0,China,48169,12.0,16,0.888888889,China (Mainland)
46.0,36.0,Kyoto University,Japan,L,FC,VH,5.0,A,98.7,20.0,99.1,14.0,94.7,63.0,49.3,270.0,14.9,670.0,20.8,538.0,57.3,266.0,53.2,118.0,88.4,103.0,76.3,55.0,75.0,550.0,85.4,21.0,84.3,27.0,60.0,779.0,100.0,14.0,45.7,940.0,Japan,21817,9.0,11,0.888888889,Japan
47.0,61.0,Delft University of Technology,Netherlands,L,CO,VH,5.0,A,73.0,84.0,79.0,73.0,36.9,428.0,84.9,95.0,100.0,66.0,89.3,121.0,91.4,72.0,42.1,170.0,98.4,18.0,76.2,48.0,76.3,480.0,66.7,51.0,78.2,36.0,76.5,404.0,100.0,5.0,92.8,86.0,Netherlands,21262,15.9,30,0.888888889,Netherlands
47.0,32.0,Northwestern University,United States,L,FC,VH,5.0,B,83.8,60.0,60.2,132.0,98.9,39.0,70.3,147.0,48.2,364.0,44.2,327.0,79.2,152.0,97.7,19.0,78.0,162.0,76.2,28.0,83.2,280.0,72.3,37.0,78.8,34.0,97.8,15.0,99.7,50.0,75.9,315.0,United States,18894,13.1,18,0.888888889,United States
50.0,34.0,Fudan University,China (Mainland),XL,FC,VH,4.0,A,84.7,55.0,89.8,49.0,84.5,108.0,72.4,136.0,88.3,193.0,33.0,393.0,22.7,522.0,49.6,134.0,43.8,341.0,74.4,44.0,77.5,440.0,76.5,30.0,75.3,43.0,83.5,246.0,96.0,104.0,56.1,658.0,China,38101,12.6,9,0.888888889,China (Mainland)
51.0,46.0,Shanghai Jiao Tong University,China (Mainland),XL,FC,VH,4.0,A,83.7,61.0,83.3,64.0,54.7,279.0,99.4,15.0,39.2,415.0,35.5,377.0,38.3,390.0,55.5,113.0,44.1,339.0,74.3,43.0,77.7,430.0,76.6,29.0,82.5,30.0,75.4,432.0,100.0,24.0,60.6,572.0,China,38472,12.6,9,0.888888889,China (Mainland)
52.0,52.0,Carnegie Mellon University,United States,L,FC,VH,5.0,B,71.2,87.0,75.3,83.0,49.1,319.0,99.9,10.0,46.6,371.0,98.2,59.0,57.4,264.0,60.0,100.0,47.2,323.0,73.7,24.0,86.3,240.0,75.0,32.0,84.6,26.0,98.9,6.0,87.3,182.0,85.5,184.0,United States,13562,11.9,44,0.888888889,United States
53.0,58.0,University of Amsterdam,Netherlands,XL,FC,VH,5.0,A,83.6,62.0,44.2,203.0,21.2,641.0,98.1,33.0,92.4,168.0,79.9,163.0,97.4,28.0,49.9,133.0,64.8,226.0,73.4,61.0,73.6,610.0,55.0,99.0,63.1,74.0,96.7,33.0,77.6,292.0,93.2,80.0,Netherlands,28649,13.2,36,0.888888889,Netherlands
55.0,61.0,University of Bristol,United Kingdom,L,FC,VH,5.0,A,74.9,78.0,84.7,60.0,47.3,331.0,64.7,179.0,85.5,205.0,86.8,136.0,84.4,122.0,39.6,181.0,81.3,141.0,72.4,81.0,69.8,810.0,48.7,148.0,56.5,105.0,97.3,26.0,72.3,378.0,92.5,91.0,United Kingdom,27335,14.8,31,0.888888889,United Kingdom
57.0,50.0,Duke University,United States,L,FC,VH,5.0,B,85.7,53.0,69.3,106.0,100.0,7.0,40.2,344.0,16.8,634.0,52.2,278.0,90.0,82.0,89.3,37.0,95.0,53.0,72.0,26.0,83.9,260.0,79.3,24.0,76.1,41.0,96.2,36.0,100.0,6.0,74.8,331.0,United States,15527,3.9,18,0.888888889,United States
58.0,72.0,University of Texas at Austin,United States,XL,FC,VH,5.0,A,93.5,35.0,83.2,65.0,8.9,701.0,86.7,85.0,9.3,701.0,11.0,691.0,79.4,147.0,70.0,73.0,77.7,163.0,71.8,52.0,75.5,520.0,66.0,54.0,75.7,42.0,91.0,109.0,81.4,247.0,47.3,881.0,United States,48558,16.4,8,0.888888889,United States
59.0,60.0,Sorbonne University,France,XL,FC,VH,1.0,A,88.6,48.0,53.2,151.0,43.3,361.0,85.4,93.0,35.2,451.0,49.8,297.0,100.0,4.0,39.5,182.0,75.8,171.0,71.7,75.0,70.5,750.0,64.7,58.0,60.8,81.0,83.7,242.0,69.5,444.0,78.8,269.0,France,41527,14.5,22,0.888888889,France
60.0,40.0,The Hong Kong University of Science and Technology,Hong Kong SAR,M,CO,VH,3.0,A,83.3,63.0,42.6,216.0,53.6,289.0,99.1,20.0,100.0,19.0,91.4,111.0,5.3,701.0,50.3,131.0,31.0,432.0,71.1,64.0,73.0,650.0,54.0,105.0,62.1,76.0,92.9,77.0,100.0,10.0,95.5,40.0,Hong Kong,9794,19.9,30,0.888888889,Hong Kong SAR
61.0,76.0,KU Leuven,Belgium,XL,FC,VH,5.0,A,84.6,56.0,42.4,220.0,7.0,701.0,92.7,66.0,93.1,163.0,45.7,318.0,99.9,6.0,56.1,111.0,75.6,173.0,70.1,45.0,77.0,450.0,60.1,72.0,74.9,48.0,91.9,95.0,100.0,13.0,79.6,259.0,Belgium,49435,37.3,19,0.888888889,Belgium
63.0,80.0,University of Washington,United States,XL,FC,VH,5.0,A,84.0,58.0,50.4,168.0,19.1,692.0,93.5,62.0,19.0,600.0,33.2,392.0,94.0,59.0,70.0,74.0,88.1,106.0,69.2,25.0,85.3,250.0,78.0,27.0,83.5,29.0,98.2,11.0,77.6,294.0,73.2,362.0,United States,49486,10.1,16,0.888888889,United States
