rank,clean_rank,name,location,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,KPI_Global_Ranking_Score,KPI_Research_Impact_Score,KPI_Faculty_To_Student_Ratio,KPI_International_Student_Pct,KPI_Academic_Reputation_Score,KPI_Research_Productivity_Index,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
1201â€“1500,1201.0,UniversitÃ© Polytechnique Hauts-de-France,France,QS World University Rankings 2026,13422.0,27.9,43.6,25.44,0.0358,12.0,15.8,25.83,43.6,15.8,8.7,36.6,57.8,70.3
1201â€“1500,1201.0,Helwan University,Egypt,QS World University Rankings 2026,124886.0,22.4,30.45,26.84,0.0446,2.0,16.2,21.01,30.450000000000003,16.2,8.9,38.8,19.9,47.6
1201â€“1500,1201.0,University of Hormozgan,Iran,QS World University Rankings 2026,5338.0,24.4,30.45,28.2,0.041,0.0,24.6,23.63,30.450000000000003,24.6,14.1,37.6,22.8,26.4
1201â€“1500,1201.0,University of Hradec KrÃ¡lovÃ©,Czech Republic,QS World University Rankings 2026,6334.0,12.8,25.5,30.56,0.0781,3.0,19.7,25.4,25.5,19.7,15.2,40.8,23.5,60.4
1201â€“1500,1201.0,Hungarian University of Agriculture and Life Sciences,Hungary,QS World University Rankings 2026,10252.0,11.6,30.45,24.14,0.0862,16.0,25.8,20.62,30.450000000000003,25.8,11.6,32.5,23.0,62.3
1201â€“1500,1201.0,Hyogo Medical University,Japan,QS World University Rankings 2026,2603.0,4.6,25.5,27.3,0.2174,1.0,29.0,27.49,25.5,29.0,13.5,36.5,53.1,19.2
1201â€“1500,1201.0,Ibn TofaÃ¯l University,Morocco,QS World University Rankings 2026,66964.0,88.7,16.2,32.08,0.0113,3.0,24.6,24.98,16.2,24.6,13.0,44.8,18.7,28.5
1201â€“1500,1201.0,Ilam University,Iran,QS World University Rankings 2026,44187.0,199.9,30.45,35.66,0.005,2.0,17.1,26.94,30.450000000000003,17.1,12.8,50.9,18.2,25.2
1201â€“1500,1201.0,Ilia State University,Georgia,QS World University Rankings 2026,15400.0,13.4,16.2,32.62,0.0746,4.0,18.1,24.11,16.2,18.1,10.0,47.7,16.1,52.0
1201â€“1500,1201.0,University of Ilorin,Nigeria,QS World University Rankings 2026,52921.0,39.2,16.2,32.02,0.0255,0.0,20.6,24.3,16.2,20.6,10.9,46.1,18.1,40.1
1201â€“1500,1201.0,Immanuel Kant Baltic Federal University,Russia,QS World University Rankings 2026,6857.0,17.1,16.2,17.66,0.0585,19.0,35.9,20.47,16.2,35.9,18.8,16.9,34.4,62.4
1201â€“1500,1201.0,Incheon National University,"Korea, South",QS World University Rankings 2026,12885.0,15.7,43.6,29.06,0.0637,3.0,22.8,26.6,43.6,22.8,17.3,36.9,33.6,36.4
1201â€“1500,1201.0,Indian Institute of Science Education and Research Bhopal,India,QS World University Rankings 2026,1913.0,14.3,30.45,20.3,0.0699,0.0,35.8,18.66,30.450000000000003,35.8,14.6,24.1,19.5,24.5
