Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
Johannes Kepler University Linz,Austria,AT,Europe,M,FO,VH,4,Public,473,472,=446,350=,33.5,25.7,17.5,700,14.9,701+,80.0,166,25.2,635,89.9,223,57.5,360,61.6,327,56.6,743,15.3,801+,61.0,480=,12.5,601+,13.5,598,82.9,122,16.1,617,86.3,201,27.2,447,26.5,487,11.1,701+,18.4,560=
Johns Hopkins University,United States,US,Americas,L,FC,VH,5,Private not for Profit,24,32,28,24,89.7,84.5,93.2,51,79.2,108,100.0,14,85.8,118,70.8,333,94.2,137,94.6,113,97.4,29,84.1,141,93.0,35,87.3,51,59.7,134,100.0,8,89.4,77,64.4,300,91.4,111,98.1,21,74.5,60,84.6,122
Jordan University of Science & Technology,Jordan,JO,Asia,L,CO,VH,3,Public,461,554,731-740,801-1000,33.9,-,32.0,386,47.8,273,23.1,774,12.3,801+,66.7,350,87.9,183,83.8,180,54.6,775,5.8,801+,52.1,661=,18.5,480,24.5,391,16.4,701+,4.7,701+,13.9,687,31.6,405,9.9,670,9.8,701+,22,523
Jouf University,Saudi Arabia,SA,,L,FC,HI,2,A,,,801-850,701-750,,-,,,,,,,,,,,,,,,,,,,,,8.8,601+,5.3,601+,45.1,350,1.9,701+,100.0,27,2.8,701+,2.2,701+,8,701+,1,701+
Julius-Maximilians-Universität Würzburg,Germany,DE,Europe,L,FC,VH,5,Public,416,428,440,410=,36.5,25.9,21.4,579,9.9,701+,8.9,801+,87.0,115,60.1,389,19.7,731,14.9,801+,78.3,379,17.0,783,50.2,699=,17.4,511,6.0,601+,4.9,701+,68.0,154,35.5,449,16.4,591,41.9,363,9.5,701+,11.7,647=
Justus-Liebig-University Giessen,Germany,DE,,L,FC,VH,5,A,,,=396,490=,,28.1,,,,,,,,,,,,,,,,,,,,,13.6,601+,6.1,601+,1.7,701+,85.7,92,12.1,701+,18.9,561,63.8,221,9.5,701+,11.1,655
Justus-Liebig-Universität Gießen,Germany,,Europe,L,FC,VH,,Public,496,445,,,32.4,,15.4,701+,9.6,701+,2.7,801+,85.6,121,19.3,724,28.9,605,21.7,738,80.7,340,17.0,784,53.4,632=,,,,,,,,,,,,,,,,,,
Kagoshima University,Japan,JP,Asia,M,FC,VH,4,Public,1201-1400,1001-1200,1001-1200,701-750,-,-,7.8,701+,4.7,701+,69.6,234,6.1,801+,5.1,801+,5.0,801+,4.0,801+,24.0,801+,1.6,801+,23.0,801+,6.1,601+,2.9,601+,65.8,206,3.9,701+,4.0,701+,3.0,701+,1.8,701+,7.2,701+,1.3,701+
KAIST - Korea Advanced Institute of Science & Technology,South Korea,KR,,M,CO,VH,4,A,,,56,42=,,72.2,,,,,,,,,,,,,,,,,,,,,89.9,44,88.8,53,66.2,202,97.7,35,22.3,570,11.6,682,10.6,662,41.8,174,14.2,621=
Kalinga Institute of Industrial Technology,India,,Asia,L,CO,VH,,Private not for Profit,1001-1200,,,,-,,6.4,701+,5.2,701+,52.1,360,5.3,801+,18.0,744,25.0,664,29.4,623,53.3,790,1.7,801+,50.7,692,,,,,,,,,,,,,,,,,,
Kanazawa University,Japan,JP,Asia,M,FC,VH,4,Public,901-950,901-950,851-900,601-650,-,-,13.2,701+,7.1,701+,58.1,311,22.1,684,11.6,801+,10.8,801+,15.4,801+,33.9,801+,1.7,801+,53.1,644=,9.3,601+,4.4,601+,60.8,232,12.1,696,9.2,701+,5.8,701+,2.4,701+,7.9,701+,1.4,701+
Kangwon National University,Republic of Korea,,Asia,L,FC,HI,,Public,1001-1200,1001-1200,,,-,,8.0,701+,7.1,701+,32.0,601,15.4,798,6.5,801+,10.2,801+,14.2,801+,28.6,801+,3.5,801+,56.6,568=,,,,,,,,,,,,,,,,,,
Kangwon National University ,South Korea,KR,,L,FC,HI,2,A,,,1001-1200,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,5.8,601+,5.4,601+,20.0,665,8.9,701+,4.0,701+,2.5,701+,1.7,701+,6,701+,17.6,573
Kansas State University,United States,US,Americas,L,CO,VH,5,Public,901-950,851-900,851-900,801-1000,-,-,9.1,701+,11.9,701+,16.2,801+,31.6,569,26.2,633,9.5,801+,7.3,801+,60.4,685,21.0,706,43.4,801+,8.9,601+,8.0,601+,12.0,701+,20.0,558,24.0,547,5.2,701+,19.0,550,13,660,26.1,485=
Karaganda Buketov University,Kazakhstan,KZ,Asia,L,CO,MD,4,Private not for Profit,901-950,901-950,851-900,801-1000,-,-,17.6,698,36.7,389,60.0,301,1.2,801+,14.5,801+,18.5,754,19.8,766,5.7,801+,10.5,801+,22.3,801+,13.7,601+,19.9,457,32.4,491,1.2,701+,22.2,571,7.3,701+,1.0,701+,11.9,701+,1,701+
Karaganda State Technical University,Kazakhstan,KZ,,M,FO,HI,4,A,,,801-850,651-700,,-,,,,,,,,,,,,,,,,,,,,,8.4,601+,6.8,601+,80.6,138,1.1,701+,8.2,701+,18.4,569,1.0,701+,12.1,701+,2.1,701+
Karl-Franzens-Universitaet Graz,Austria,AT,,L,CO,VH,5,A,,,661-670,651-700,,-,,,,,,,,,,,,,,,,,,,,,21.3,407,9.5,601+,12.3,701+,10.9,701+,46.9,369,28.4,439,15.2,596,18.3,456,19.2,549=
Karl-Franzens-Universität Graz,Austria,,Europe,L,FO,VH,,Public,668,671-680,,,26.3,,26.8,469,13.1,701+,18.9,801+,13.6,801+,53.4,424,38.6,511,28.9,628,70.3,524,44.0,403,52.7,652=,,,,,,,,,,,,,,,,,,
Karlsruhe Institute of Technology (KIT),Germany,,Europe,L,FO,VH,,Public,98,102,,,69.1,,57.1,194,87.4,82,48.9,397,77.1,168,83.8,265,56.9,363,61.1,330,86.9,219,61.5,254,79.5,180=,,,,,,,,,,,,,,,,,,
Kasetsart University,Thailand,TH,Asia,XL,CO,VH,4,Public,701-710,781-790,751-760,801-1000,-,-,37.4,320,37.1,383,10.3,801+,4.6,801+,7.7,801+,1.7,801+,6.2,801+,46.2,801+,31.2,534,60.8,491=,24.3,356,21.8,431,6.2,701+,2.5,701+,4.8,701+,1.3,701+,5.2,701+,19.3,435,51.5,297=
Kaunas University of Technology,Lithuania,LT,Europe,M,FO,VH,5,Public,741-750,751-760,801-850,801-1000,-,-,15.1,701+,22.0,602,37.9,533,17.5,761,4.8,801+,40.0,489,45.4,458,68.6,556,29.0,570,58.9,521=,11.3,601+,21.8,430,31.5,499,6.8,701+,3.3,701+,24.1,486,16.9,575,8.4,701+,1.9,701+
