Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
Kazakh Ablai khan University of International Relations and World Languages,Kazakhstan,KZ,Asia,M,SP,LO,4,Public,1201-1400,1201-1400,1001-1200,1001-1200,-,-,10.4,701+,16.7,701+,54.1,348,1.0,801+,9.9,801+,8.7,801+,11.8,801+,1.3,801+,4.2,801+,,,6.5,601+,6.7,601+,35.5,448,1.0,701+,6.7,701+,4.4,701+,1.0,701+,12.1,701+,1.8,701+
Kazakh-British Technical University,Kazakhstan,KZ,Asia,M,FO,HI,2,Public,1001-1200,1001-1200,1001-1200,801-1000,-,-,15.9,701+,41.9,321,17.8,801+,2.6,801+,15.3,801+,4.1,801+,8.2,801+,13.9,801+,4.3,801+,32.7,801+,13.1,601+,22.6,420,20.0,666,1.4,701+,5.3,701+,2.1,701+,1.0,701+,12.2,701+,1,701+
Kazakh National Agrarian University,Kazakhstan,,Asia,M,SP,MD,,Public,697,671-680,,,25.1,,22.8,550,27.7,499,92.6,91,1.4,801+,26.2,634,39.2,499,35.2,550,7.7,801+,4.3,801+,38.7,801+,,,,,,,,,,,,,,,,,,
Kazakh National Agrarian University KazNAU,Kazakhstan,KZ,,M,SP,,4,A,,,641-650,481=,,-,,,,,,,,,,,,,,,,,,,,,17.4,510,13.1,601+,79.8,139,1.1,701+,20.2,588,24.3,481,1.0,701+,11.8,701+,1.1,701+
Kazakh National Pedagogical University Abai,Kazakhstan,,Asia,L,CO,MD,,Public,628,671-680,,,27.4,,31.7,387,34.9,409,71.2,217,1.3,801+,55.4,409,13.5,801+,15.7,801+,9.0,801+,16.6,792,35.6,801+,,,,,,,,,,,,,,,,,,
Kazan Federal University,Russia,,Europe,L,FC,VH,,Public,450,401,,,34.3,,27.2,460,19.5,669,98.1,54,3.8,801+,14.0,801+,97.7,94,97.8,83,86.7,225,19.6,732,55.3,596=,,,,,,,,,,,,,,,,,,
Kazan National Research Technological University,Russia,RU,Europe,L,CO,HI,5,Public,1401+,1201-1400,1001-1200,1001-1200,-,-,5.3,701+,7.8,701+,27.9,682,2.0,801+,1.9,801+,30.9,581,32.4,585,10.3,801+,5.5,801+,13.7,801+,5.0,601+,3.6,601+,23.1,615,1.4,701+,2.5,701+,44.0,329,1.0,701+,7.8,701+,1,701+
Kazan (Volga region) Federal University,Russia,RU,,L,FC,VH,5,A,,,=396,322,,28.1,,,,,,,,,,,,,,,,,,,,,22.7,387,7.6,601+,93.7,68,2.8,701+,10.5,701+,96.1,82,61.7,234,11.2,701+,24.4,497=
Keele University,United Kingdom,UK,Europe,M,FC,VH,4,Public,801-850,791-800,781-790,751-800,-,-,8.5,701+,8.0,701+,21.3,801+,28.5,600,60.9,385,50.7,408,42.3,490,66.4,601,10.1,801+,39.4,801+,6.7,601+,4.3,601+,15.2,701+,27.1,462,53.1,344,33.2,391,11.6,642,10.5,701+,3.1,701+
Keio University,Japan,JP,Asia,XL,FC,VH,5,Private not for Profit,215,188,214,197=,54.5,44.0,65.5,153,93.8,57,65.2,268,9.4,801+,15.2,801+,19.6,735,25.8,674,55.6,759,95.8,71,68.9,331=,51.4,156,93.5,42,58.0,246,6.0,701+,9.6,701+,9.2,701+,9.2,689,79.8,50,39.3,366
