rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,stats_pc_intl_students_clean,clean_rank
601â€“800,Imam Abdulrahman Bin Faisal University,39.4,6670,27.7,822,13.9,1210,70.6,548,20.8,1494,75.3,326,master_account,0,/world-university-rankings/imam-abdulrahman-bin-faisal-university,131766,Saudi Arabia,"23,781",11.3,4%,84:16:00,Imam Abdulrahman Bin Faisal University,"Civil Engineering,Medicine & Dentistry,Sociology,Education,Architecture,History, Philosophy & Theology,Mathematics & Statistics,Psychology,Mechanical & Aerospace Engineering,Computer Science,Languages, Literature & Linguistics,Business & Management,General Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Chemistry,Biological Sciences,Physics & Astronomy,Geography,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Accounting & Finance",False,False,False,,QS World University Rankings 2026,23781.0,11.3,4.0,601.0
601â€“800,Imam Khomeini International University,30.450000000000003,6680,30.6,659,19.6,833,72.4,500,26.7,1271,26.9,1616,master_account,0,/world-university-rankings/imam-khomeini-international-university,622263,Iran,"8,156",25.8,5%,54:46:00,Imam Khomeini International University,"Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Education,Accounting & Finance,Biological Sciences,Physics & Astronomy,Sociology,Computer Science,Veterinary Science,Mechanical & Aerospace Engineering,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),General Engineering,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Psychology,Law,Mathematics & Statistics,Archaeology",False,False,False,,QS World University Rankings 2026,8156.0,25.8,5.0,601.0
601â€“800,Indian Institute of Technology Guwahati,30.450000000000003,6690,35.5,447,24.1,644,52.0,961,49.5,817,28.6,1556,master_account,0,/world-university-rankings/indian-institute-technology-guwahati,977,India,"8,157",18.0,1%,24 : 76,Indian Institute of Technology Guwahati,"Mechanical & Aerospace Engineering,Sociology,Architecture,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Computer Science,Chemical Engineering,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Business & Management,General Engineering,Biological Sciences,Art, Performing Arts & Design,Veterinary Science,Chemistry",False,False,False,,QS World University Rankings 2026,8157.0,18.0,1.0,601.0
601â€“800,Indian Institute of Technology (Indian School of Mines) Dhanbad,30.450000000000003,6700,37.6,372,24.1,645,59.7,787,30.0,1182,18.4,1891,master_account,0,/world-university-rankings/indian-institute-technology-indian-school-mines-dhanbad,131598,India,"6,174",16.7,0%,0.806944444,Indian Institute of Technology (Indian School of Mines) Dhanbad,"General Engineering,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Civil Engineering,Computer Science",False,False,False,,QS World University Rankings 2026,6174.0,16.7,0.0,601.0
601â€“800,Indian Institute of Technology Patna,30.450000000000003,6710,33.2,534,24.1,646,70.6,549,19.8,1543,22.3,1796,master_account,0,/world-university-rankings/indian-institute-technology-patna,660965,India,"2,375",18.8,1%,0.806944444,Indian Institute of Technology Patna,"Computer Science,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Chemistry,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",False,False,False,,QS World University Rankings 2026,2375.0,18.8,1.0,601.0
601â€“800,University of Insubria,43.599999999999994,6720,19.7,1401,22.7,699,80.4,314,43.2,918,42.4,1033,master_account,0,/world-university-rankings/university-insubria,623250,Italy,"10,244",27.5,5%,56:44:00,University of Insubria,"Communication & Media Studies,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Biological Sciences,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Law,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sport Science,Physics & Astronomy,Other Health,Accounting & Finance,Mathematics & Statistics,Economics & Econometrics",False,False,False,,QS World University Rankings 2026,10244.0,27.5,5.0,601.0
601â€“800,"International Institute of Information Technology, Hyderabad",30.450000000000003,6730,26.0,935,21.4,752,71.7,518,49.6,816,39.5,1133,master_account,0,/world-university-rankings/international-institute-information-technology-hyderabad,689092,India,"1,905",18.3,7%,0.929861111,"International Institute of Information Technology, Hyderabad","Civil Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Computer Science,Biological Sciences,Art, Performing Arts & Design",False,False,False,,QS World University Rankings 2026,1905.0,18.3,7.0,601.0
601â€“800,Iran University of Medical Sciences,30.450000000000003,6740,48.2,156,16.4,1016,54.5,896,39.1,1004,38.3,1178,master_account,0,/world-university-rankings/iran-university-medical-sciences,131371,Iran,"9,084",8.3,10%,55:45:00,Iran University of Medical Sciences,"Business & Management,Chemistry,Biological Sciences,Education,Computer Science,Other Health,Psychology,Medicine & Dentistry",False,False,False,,QS World University Rankings 2026,9084.0,8.3,10.0,601.0
601â€“800,ISCTE-University Institute of Lisbon,39.4,6750,26.4,914,35.7,330,56.3,861,55.2,720,53.0,713,master_account,0,/world-university-rankings/instituto-universitario-de-lisboa,131500,Portugal,"10,353",26.7,17%,52:48:00,ISCTE-University Institute of Lisbon,"History, Philosophy & Theology,Accounting & Finance,Communication & Media Studies,Economics & Econometrics,Business & Management,Psychology,Computer Science,Sociology,Architecture,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,False,,QS World University Rankings 2026,10353.0,26.7,17.0,601.0
601â€“800,Isfahan University of Technology,30.450000000000003,6760,21.5,1264,26.5,556,62.0,736,75.2,334,33.0,1388,master_account,0,/world-university-rankings/isfahan-university-technology,953,Iran,"10,529",22.7,1%,40 : 60,Isfahan University of Technology,"Electrical & Electronic Engineering,Chemistry,General Engineering,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Biological Sciences,Agriculture & Forestry,Chemical Engineering,Physics & Astronomy,Civil Engineering",False,False,False,,QS World University Rankings 2026,10529.0,22.7,1.0,601.0
601â€“800,ITMO University,16.2,6770,34.0,493,34.9,351,40.0,1221,69.0,454,67.1,443,master_account,0,/world-university-rankings/itmo-university,131805,Russia,"10,902",14.6,18%,34 : 66,ITMO University,"Computer Science,Chemistry,Politics & International Studies (incl Development Studies),Communication & Media Studies,Education,Chemical Engineering,General Engineering,Sociology,Economics & Econometrics,Civil Engineering,Art, Performing Arts & Design,Sport Science,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Medicine & Dentistry,Biological Sciences,Law,Mathematics & Statistics,Electrical & Electronic Engineering,Agriculture & Forestry,Mechanical & Aerospace Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Other Health,Languages, Literature & Linguistics",False,False,True,,QS World University Rankings 2026,10902.0,14.6,18.0,601.0
601â€“800,Jagiellonian University,25.5,6780,38.4,349,29.0,495,55.7,868,46.7,869,43.4,1002,master_account,0,/world-university-rankings/jagiellonian-university,783,Poland,"34,309",8.8,11%,67:33:00,Jagiellonian University,"Other Health,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Psychology,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Sociology,Accounting & Finance,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Geography,Computer Science,Archaeology,Biological Sciences,Education",False,False,False,,QS World University Rankings 2026,34309.0,8.8,11.0,601.0
601â€“800,Jamia Hamdard University,30.450000000000003,6790,21.1,1294,15.0,1120,74.8,439,40.4,971,41.9,1054,master_account,0,/world-university-rankings/jamia-hamdard-university,688786,India,"9,831",18.5,3%,41:59:00,Jamia Hamdard University,"Medicine & Dentistry,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Biological Sciences",False,False,False,,QS World University Rankings 2026,9831.0,18.5,3.0,601.0
601â€“800,Jawaharlal Nehru University,30.450000000000003,6800,41.9,264,24.3,638,51.8,971,33.9,1112,23.7,1752,master_account,0,/world-university-rankings/jawaharlal-nehru-university,985,India,"9,737",16.1,1%,45:55:00,Jawaharlal Nehru University,"Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Communication & Media Studies,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Computer Science,Sociology,Chemistry,Geography,Biological Sciences,Economics & Econometrics,Agriculture & Forestry,Education,Physics & Astronomy,Business & Management",False,False,False,,QS World University Rankings 2026,9737.0,16.1,1.0,601.0
601â€“800,Jiangsu University,43.599999999999994,6810,25.6,966,14.1,1194,77.5,381,51.1,790,55.1,670,master_account,0,/world-university-rankings/jiangsu-university,131581,China,"35,258",9.4,6%,43:57:00,Jiangsu University,"Economics & Econometrics,Computer Science,Communication & Media Studies,Law,Electrical & Electronic Engineering,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry,General Engineering,Agriculture & Forestry,Accounting & Finance,Civil Engineering,Education,History, Philosophy & Theology,Sociology,Chemistry,Other Health,Chemical Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Business & Management",False,False,False,,QS World University Rankings 2026,35258.0,9.4,6.0,601.0
601â€“800,JÃ¶nkÃ¶ping University,59.5,6820,20.1,1366,19.2,857,78.3,358,28.2,1231,65.7,471,master_account,0,/world-university-rankings/jonkoping-university,621903,Sweden,"6,910",13.0,13%,60:40:00,JÃ¶nkÃ¶ping University,"Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Medicine & Dentistry,History, Philosophy & Theology,Psychology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Communication & Media Studies,Computer Science,General Engineering,Business & Management,Education,Accounting & Finance,Other Health",False,False,False,,QS World University Rankings 2026,6910.0,13.0,13.0,601.0
601â€“800,The University of Jordan,25.5,6830,27.8,816,13.4,1265,62.7,711,30.8,1162,67.1,444,master_account,0,/world-university-rankings/university-jordan,131487,Jordan,"25,631",10.3,20%,69:31:00,The University of Jordan,"Other Health,Mathematics & Statistics,Mechanical & Aerospace Engineering,Geography,Archaeology,Physics & Astronomy,Medicine & Dentistry,Biological Sciences,Psychology,Computer Science,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Law,Business & Management,Architecture,Agriculture & Forestry,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Sport Science,Education,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics",False,False,False,,QS World University Rankings 2026,25631.0,10.3,20.0,601.0
601â€“800,Jouf University,39.4,6840,30.5,666,18.3,903,58.3,815,21.3,1467,76.7,301,master_account,0,/world-university-rankings/al-jouf-university-0,709424,Saudi Arabia,"19,006",9.6,3%,64:36:00,Jouf University,"Computer Science,Accounting & Finance,Mathematics & Statistics,Medicine & Dentistry,Business & Management,General Engineering,Education,Biological Sciences,Electrical & Electronic Engineering,Physics & Astronomy,Other Health,Chemistry,Civil Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering",False,False,False,,QS World University Rankings 2026,19006.0,9.6,3.0,601.0
601â€“800,Juntendo University,25.5,6850,37.6,373,17.1,961,59.3,796,81.4,245,25.3,1690,master_account,0,/world-university-rankings/juntendo-university,930,Japan,"6,579",5.0,3%,54:46:00,Juntendo University,"Communication & Media Studies,Medicine & Dentistry,Computer Science,Other Health,Sport Science",False,False,False,,QS World University Rankings 2026,6579.0,5.0,3.0,601.0
601â€“800,University of Kaiserslautern,59.5,6860,38.7,345,28.7,499,44.4,1137,83.0,228,56.7,648,master_account,0,/world-university-rankings/university-kaiserslautern,131341,Germany,"6,912",22.0,19%,34 : 66,University of Kaiserslautern,"Civil Engineering,Chemical Engineering,Biological Sciences,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics",False,False,False,,QS World University Rankings 2026,6912.0,22.0,19.0,601.0
601â€“800,Kansas State University,57.25,6870,32.9,546,20.9,775,57.4,832,66.9,503,57.5,632,public,0,/world-university-rankings/kansas-state-university,831,United States,"19,332",13.8,6%,53:47:00,Kansas State University,"Sport Science,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Other Health,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Agriculture & Forestry,Physics & Astronomy,Law,Languages, Literature & Linguistics,Chemical Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,Education,Architecture,Biological Sciences,Geography",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-29439461,QS World University Rankings 2026,19332.0,13.8,6.0,601.0
601â€“800,University of Kashan,30.450000000000003,6880,27.1,869,19.9,817,74.7,445,21.9,1442,24.8,1712,master_account,0,/world-university-rankings/university-kashan,624345,Iran,"8,654",28.4,2%,55:45:00,University of Kashan,"Physics & Astronomy,Architecture,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Education,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Archaeology,Law,Sport Science,Mathematics & Statistics,Chemistry,Electrical & Electronic Engineering,Sociology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Civil Engineering,Agriculture & Forestry,Computer Science,Psychology",False,False,False,,QS World University Rankings 2026,8654.0,28.4,2.0,601.0
601â€“800,Kashan University of Medical Sciences and Health Services,30.450000000000003,6890,32.9,547,15.0,1121,75.6,428,17.4,1712,25.3,1691,master_account,0,/world-university-rankings/kashan-university-medical-sciences-and-health-services,701449,Iran,"3,265",20.5,3%,58:42:00,Kashan University of Medical Sciences and Health Services,"Other Health,Psychology,Medicine & Dentistry",False,False,False,,QS World University Rankings 2026,3265.0,20.5,3.0,601.0
601â€“800,Keio University,25.5,6900,36.9,391,27.0,541,49.2,1034,73.3,360,38.4,1172,master_account,0,/world-university-rankings/keio-university,785,Japan,"33,577",10.2,8%,36 : 64,Keio University,"Archaeology,Mechanical & Aerospace Engineering,Chemistry,Economics & Econometrics,Computer Science,Sociology,Art, Performing Arts & Design,Sport Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Law,Other Health,Physics & Astronomy,Education,Chemical Engineering,Psychology,Civil Engineering,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies",False,False,False,,QS World University Rankings 2026,33577.0,10.2,8.0,601.0
601â€“800,KIIT University,30.450000000000003,6910,38.5,348,15.8,1061,61.5,742,52.0,771,39.4,1134,master_account,11,/world-university-rankings/kiit-university,622215,India,"24,802",12.3,10%,49:51:00,KIIT University,"Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Physics & Astronomy,Accounting & Finance,Other Health,Chemistry,Psychology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Biological Sciences,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Sociology,Civil Engineering,Geography,Languages, Literature & Linguistics,Computer Science,Law,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Education",False,False,False,,QS World University Rankings 2026,24802.0,12.3,10.0,601.0
601â€“800,King Saud bin Abdulaziz University for Health Sciences,39.4,6920,40.8,283,21.7,743,43.6,1151,36.1,1072,64.4,497,master_account,0,/world-university-rankings/king-saud-bin-abdulaziz-university-health-sciences,624918,Saudi Arabia,"8,594",13.0,1%,51:49:00,King Saud bin Abdulaziz University for Health Sciences,"Medicine & Dentistry,Other Health",False,False,False,,QS World University Rankings 2026,8594.0,13.0,1.0,601.0
601â€“800,Kobe University,25.5,6930,39.5,325,27.2,535,48.1,1056,75.4,329,39.0,1149,master_account,0,/world-university-rankings/kobe-university,833,Japan,"15,333",10.2,7%,35 : 65,Kobe University,"Civil Engineering,Art, Performing Arts & Design,Law,Accounting & Finance,Mathematics & Statistics,Geography,Business & Management,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Sport Science,General Engineering,Chemistry,Other Health,Architecture,Veterinary Science,Computer Science,Medicine & Dentistry,Chemical Engineering,Biological Sciences,Archaeology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Psychology,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Languages, Literature & Linguistics,History, Philosophy & Theology,Electrical & Electronic Engineering,Education,Physics & Astronomy",False,False,False,,QS World University Rankings 2026,15333.0,10.2,7.0,601.0
601â€“800,Konkuk University,43.599999999999994,6940,32.2,581,37.6,298,49.1,1037,73.7,354,45.0,958,master_account,0,/world-university-rankings/konkuk-university,950,"Korea, South","12,805",25.2,15%,48:52:00,Konkuk University,"Chemistry,Politics & International Studies (incl Development Studies),Education,Economics & Econometrics,Veterinary Science,Psychology,Law,Mathematics & Statistics,Chemical Engineering,Architecture,Other Health,Art, Performing Arts & Design,Civil Engineering,History, Philosophy & Theology,Sport Science,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Biological Sciences,Communication & Media Studies,Sociology,Business & Management,General Engineering,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering",False,False,False,,QS World University Rankings 2026,12805.0,25.2,15.0,601.0
601â€“800,Kurdistan University of Medical Sciences,30.450000000000003,6950,40.8,284,11.2,1503,67.6,608,18.8,1602,27.9,1581,master_account,0,/world-university-rankings/kurdistan-university-medical-sciences,681865,Iran,"3,229",10.7,2%,48:52:00,Kurdistan University of Medical Sciences,"Geology, Environmental, Earth & Marine Sciences,Other Health,Biological Sciences,Psychology,Medicine & Dentistry,Education",False,False,False,,QS World University Rankings 2026,3229.0,10.7,2.0,601.0
601â€“800,Lehigh University,57.25,6960,33.0,543,22.5,709,57.6,828,63.6,574,73.8,353,private,0,/world-university-rankings/lehigh-university,787,United States,"6,518",11.2,17%,46:54:00,Lehigh University,"Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Business & Management,Accounting & Finance,History, Philosophy & Theology,Sociology,Economics & Econometrics,Civil Engineering,Biological Sciences,Psychology,Mechanical & Aerospace Engineering,Education,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies,Architecture,Mathematics & Statistics,Other Health,Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-16717372,QS World University Rankings 2026,6518.0,11.2,17.0,601.0
601â€“800,University of Lille,43.599999999999994,6970,32.5,571,23.2,678,58.6,809,67.2,494,68.0,432,master_account,0,/world-university-rankings/university-lille,587766,France,"79,372",31.5,13%,61:39:00,University of Lille,"General Engineering,Mathematics & Statistics,Business & Management,Other Health,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemistry,Law,Archaeology,Communication & Media Studies,Computer Science,Chemical Engineering,Geography,Architecture,Mechanical & Aerospace Engineering,Biological Sciences,Psychology,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Sport Science,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Education",False,False,False,,QS World University Rankings 2026,79372.0,31.5,13.0,601.0
601â€“800,London South Bank University,52.05,6980,18.6,1494,12.4,1365,65.9,650,52.4,761,92.3,97,master_account,0,/world-university-rankings/london-south-bank-university,131793,United Kingdom,"14,510",17.5,37%,56:44:00,London South Bank University,"Civil Engineering,Psychology,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,General Engineering,Business & Management,Electrical & Electronic Engineering,Sport Science,Law,Agriculture & Forestry,Chemical Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Biological Sciences,Education,Computer Science,Architecture,Other Health",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-95568503,QS World University Rankings 2026,14510.0,17.5,37.0,601.0
601â€“800,University of Lorraine,43.599999999999994,6990,27.3,860,18.9,869,58.0,822,60.6,632,72.9,365,master_account,0,/world-university-rankings/university-lorraine,589277,France,"63,803",20.0,16%,53:47:00,University of Lorraine,"Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,Psychology,Other Health,Sport Science,Education,Archaeology,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,General Engineering,Chemistry,Accounting & Finance,Architecture,Chemical Engineering,Sociology",False,False,False,,QS World University Rankings 2026,63803.0,20.0,16.0,601.0
601â€“800,Louisiana State University,57.25,7000,32.7,561,21.4,753,61.1,751,63.1,584,47.8,868,public,0,/world-university-rankings/louisiana-state-university,131540,United States,"31,112",19.4,4%,55:45:00,Louisiana State University,"Education,Sociology,Economics & Econometrics,Other Health,Physics & Astronomy,Accounting & Finance,Chemistry,Medicine & Dentistry,Law,Communication & Media Studies,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Architecture,Mechanical & Aerospace Engineering,Business & Management,Sport Science,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemical Engineering,Computer Science,Psychology,Mathematics & Statistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48956002,QS World University Rankings 2026,31112.0,19.4,4.0,601.0
601â€“800,Lviv Polytechnic National University,25.5,7010,22.9,1157,11.3,1489,34.2,1345,18.8,1603,27.1,1610,master_account,0,/world-university-rankings/national-university-lviv-polytechnic,131716,Ukraine,"22,580",11.9,1%,41:59:00,Lviv Polytechnic National University,"Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,General Engineering,Law,Education,Communication & Media Studies,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Sociology,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management",False,False,False,,QS World University Rankings 2026,22580.0,11.9,1.0,601.0
601â€“800,Mahidol University,25.5,7020,39.3,327,25.0,610,46.3,1087,78.6,281,48.7,841,master_account,0,/world-university-rankings/mahidol-university,838,Thailand,"28,790",8.9,5%,64:36:00,Mahidol University,"Art, Performing Arts & Design,Civil Engineering,Chemistry,Business & Management,History, Philosophy & Theology,Sport Science,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Education,Archaeology,Mathematics & Statistics,Psychology,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,Sociology",False,False,False,,QS World University Rankings 2026,28790.0,8.9,5.0,601.0
601â€“800,Malaviya National Institute of Technology,30.450000000000003,7030,29.9,694,15.6,1076,76.5,405,19.8,1544,20.3,1858,master_account,0,/world-university-rankings/malaviya-national-institute-technology,724022,India,"4,715",17.3,0%,31 : 69,Malaviya National Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Chemical Engineering,Computer Science,Accounting & Finance,Civil Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,Business & Management",False,False,False,,QS World University Rankings 2026,4715.0,17.3,0.0,601.0
601â€“800,Universiti Malaysia Pahang,30.450000000000003,7040,27.4,851,19.0,862,67.5,611,28.3,1225,57.9,623,master_account,0,/world-university-rankings/universiti-malaysia-pahang,625131,Malaysia,"8,331",13.5,8%,49:51:00,Universiti Malaysia Pahang,"Chemical Engineering,Mathematics & Statistics,Chemistry,Computer Science,Electrical & Electronic Engineering,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Languages, Literature & Linguistics,General Engineering",False,False,False,,QS World University Rankings 2026,8331.0,13.5,8.0,601.0
601â€“800,Manipal Academy of Higher Education,30.450000000000003,7050,45.0,205,18.5,889,46.3,1088,44.9,896,48.3,856,master_account,0,/world-university-rankings/manipal-university-formerly-known-manipal-academy-higher-education,131750,India,"23,602",9.1,12%,47:53:00,Manipal Academy of Higher Education,"Languages, Literature & Linguistics,Chemical Engineering,Architecture,Geography,Other Health,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Business & Management,Accounting & Finance,Chemistry",False,False,False,,QS World University Rankings 2026,23602.0,9.1,12.0,601.0
601â€“800,Marche Polytechnic University,43.599999999999994,7060,23.2,1137,22.6,702,75.6,429,64.9,551,36.0,1277,master_account,0,/world-university-rankings/universita-politecnica-delle-marche,131584,Italy,"14,332",28.9,5%,47:53:00,Marche Polytechnic University,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Computer Science,Agriculture & Forestry,Business & Management,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Economics & Econometrics",False,False,False,,QS World University Rankings 2026,14332.0,28.9,5.0,601.0
