rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,stats_pc_intl_students_clean,clean_rank
1001â€“1200,GLA University,30.450000000000003,10650,16.8,1641,10.6,1570,63.9,691,16.0,1857,20.9,1844,master_account,0,/world-university-rankings/gla-university,719262,India,"10,719",16.8,0%,29 : 71,GLA University,"Chemistry,Biological Sciences,Mathematics & Statistics,Civil Engineering,Computer Science,Accounting & Finance,Mechanical & Aerospace Engineering,Law,Languages, Literature & Linguistics,Business & Management,Agriculture & Forestry,Electrical & Electronic Engineering,Education,Physics & Astronomy",False,False,False,,QS World University Rankings 2026,10719.0,16.8,0.0,1001.0
1001â€“1200,University of Gujrat,30.450000000000003,10660,13.4,1827,11.3,1486,69.5,567,16.0,1858,45.8,936,master_account,0,/world-university-rankings/university-gujrat,719085,Pakistan,"14,741",24.7,0%,58:42:00,University of Gujrat,"Psychology,Computer Science,Education,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Accounting & Finance,Languages, Literature & Linguistics,Sport Science,Law,Geography,Sociology,Chemical Engineering,Chemistry,Communication & Media Studies,Economics & Econometrics,Physics & Astronomy,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Business & Management,Mechanical & Aerospace Engineering,Architecture,Biological Sciences,Art, Performing Arts & Design",False,False,False,,QS World University Rankings 2026,14741.0,24.7,0.0,1001.0
1001â€“1200,Guru Ghasidas Vishwavidyalaya,30.450000000000003,10670,16.6,1657,9.8,1669,63.7,697,21.6,1456,22.3,1795,master_account,0,/world-university-rankings/guru-ghasidas-vishwavidyalaya,714955,India,"8,928",21.7,0%,40 : 60,Guru Ghasidas Vishwavidyalaya,"Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Mathematics & Statistics,Other Health,Biological Sciences,Education,Agriculture & Forestry,Business & Management,Computer Science,Law,Civil Engineering,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Physics & Astronomy,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Geology, Environmental, Earth & Marine Sciences",False,False,False,,QS World University Rankings 2026,8928.0,21.7,0.0,1001.0
1001â€“1200,Hakim Sabzevari University,30.450000000000003,10680,15.3,1738,11.5,1462,61.6,741,16.5,1805,38.0,1195,master_account,0,/world-university-rankings/hakim-sabzevari-university,688807,Iran,"9,464",22.8,3%,51:49:00,Hakim Sabzevari University,"Architecture,Law,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Geography,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),General Engineering,Sociology,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Education",False,False,False,,QS World University Rankings 2026,9464.0,22.8,3.0,1001.0
1001â€“1200,Hamamatsu University School of Medicine,25.5,10690,33.6,513,18.3,902,36.9,1279,58.3,670,24.0,1740,master_account,0,/world-university-rankings/hamamatsu-university-school-medicine,609237,Japan,"1,216",4.1,3%,48:52:00,Hamamatsu University School of Medicine,"Medicine & Dentistry,Other Health",False,False,False,,QS World University Rankings 2026,1216.0,4.1,3.0,1001.0
1001â€“1200,Huaqiao University,43.599999999999994,10700,15.5,1731,14.3,1176,48.1,1055,28.4,1224,70.9,392,master_account,0,/world-university-rankings/huaqiao-university,623787,China,"33,228",17.8,19%,51:49:00,Huaqiao University,"History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Computer Science,Economics & Econometrics,Architecture,Physics & Astronomy,Accounting & Finance,General Engineering,Chemistry,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Law,Mechanical & Aerospace Engineering,Chemical Engineering,Sociology,Communication & Media Studies,Languages, Literature & Linguistics,Sport Science,Education,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,False,,QS World University Rankings 2026,33228.0,17.8,19.0,1001.0
1001â€“1200,Icesi University,16.2,10710,23.5,1109,10.5,1588,55.8,865,16.1,1848,41.1,1077,master_account,0,/world-university-rankings/icesi-university,625305,Colombia,"6,013",7.2,2%,53:47:00,Icesi University,"General Engineering,Accounting & Finance,Sociology,Other Health,Biological Sciences,Economics & Econometrics,Computer Science,Education,Chemical Engineering,Business & Management,Chemistry,Psychology,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies)",False,False,False,,QS World University Rankings 2026,6013.0,7.2,2.0,1001.0
1001â€“1200,Ilmenau University of Technology,59.5,10720,31.0,641,21.4,751,32.8,1378,64.9,549,57.1,641,master_account,0,/world-university-rankings/ilmenau-university-technology,623304,Germany,"5,224",18.4,31%,28 : 72,Ilmenau University of Technology,"Computer Science,Physics & Astronomy,General Engineering,Education,Communication & Media Studies,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Economics & Econometrics,Biological Sciences,Chemistry,Mathematics & Statistics,Chemical Engineering",False,False,False,,QS World University Rankings 2026,5224.0,18.4,31.0,1001.0
1001â€“1200,IMT Nord Europe,43.599999999999994,10730,32.2,580,25.2,601,19.7,1683,64.8,553,73.4,357,master_account,0,/world-university-rankings/imt-nord-europe,638030,France,"1,592",15.0,19%,25 : 75,IMT Nord Europe,"Mechanical & Aerospace Engineering,Civil Engineering,Business & Management,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences",False,False,False,,QS World University Rankings 2026,1592.0,15.0,19.0,1001.0
1001â€“1200,Indian Institute of Science Education and Research Kolkata,30.450000000000003,10740,40.8,282,19.4,842,33.4,1368,28.8,1208,24.0,1741,master_account,0,/world-university-rankings/indian-institute-science-education-and-research-kolkata,648731,India,"1,589",12.6,0%,28 : 72,Indian Institute of Science Education and Research Kolkata,"Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Physics & Astronomy,Economics & Econometrics,Computer Science",False,False,False,,QS World University Rankings 2026,1589.0,12.6,0.0,1001.0
