University,Location,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score,Overall Score,Rank
University of Freiburg,Germany,45.4,51.3,86.9,100.0,73.1,71.34,109
Vanderbilt University,United States,53.3,49.0,95.9,95.0,63.5,71.34,110
Boston University,United States,60.5,56.2,93.2,71.2,75.3,71.28,111
Ghent University,Belgium,47.7,59.5,84.2,99.9,64.7,71.2,112
Korea Advanced Institute of Science and Technology (KAIST),South Korea,65.2,66.7,78.3,100.0,45.7,71.17999999999999,113
University of Southampton,United Kingdom,47.2,47.7,91.2,72.7,96.7,71.1,114
University of Rochester,United States,50.8,44.5,87.8,91.6,80.1,70.96,115
University of Warwick,United Kingdom,47.9,51.5,89.0,69.3,96.2,70.78,116
University of Technology Sydney,Australia,35.2,42.5,94.9,88.2,93.0,70.76,117
Uppsala University,Sweden,44.2,55.4,83.4,96.1,74.6,70.74000000000001,118
Eindhoven University of Technology,Netherlands,46.2,51.0,68.0,100.0,88.4,70.72,119
Trinity College Dublin,Ireland,43.3,47.7,85.8,83.5,91.6,70.38,120
Tohoku University,Japan,69.0,69.6,53.1,100.0,59.9,70.32,121
King Fahd University of Petroleum and Minerals,Saudi Arabia,36.9,41.5,88.7,91.6,92.1,70.16000000000001,122
Technical University of Berlin,Germany,45.4,54.7,79.5,99.7,71.4,70.14000000000001,123
University of Auckland,New Zealand,40.4,46.4,87.8,87.4,88.5,70.1,124
University of Leeds,United Kingdom,46.4,51.0,87.0,71.2,94.6,70.04,125
University of Minnesota,United States,58.4,59.6,86.0,99.9,46.2,70.02,126
University of Geneva,Switzerland,43.2,39.0,86.4,84.0,96.5,69.82000000000001,127
University of Hamburg,Germany,44.5,53.5,85.2,99.6,66.3,69.82,128
Macquarie University,Australia,35.2,42.7,89.4,93.4,87.4,69.62,129
Rice University,United States,55.1,46.1,88.4,72.5,85.2,69.46000000000001,130
Khalifa University,United Arab Emirates,29.6,39.8,87.8,95.4,94.7,69.46000000000001,131
Karlsruhe Institute of Technology,Germany,45.8,56.9,71.1,100.0,73.1,69.38,132
Tongji University,China,51.6,53.3,72.8,99.0,70.1,69.35999999999999,133
Newcastle University,United Kingdom,37.1,42.9,93.0,82.9,90.8,69.34,134
Université Catholique de Louvain,Belgium,39.4,49.4,81.1,94.0,82.6,69.3,135
University of Antwerp,Belgium,38.1,44.6,89.9,98.5,75.3,69.28,136
Emory University,United States,53.9,46.2,95.3,83.6,67.4,69.28,137
Queen Mary University of London,United Kingdom,36.1,42.3,97.1,72.5,98.0,69.2,138
University of North Carolina at Chapel Hill,United States,63.3,62.3,93.3,75.7,50.9,69.1,139
Yonsei University (Seoul campus),South Korea,57.5,56.2,84.4,99.9,47.2,69.03999999999999,140
Free University of Berlin,Germany,49.9,59.6,82.7,71.0,81.7,68.97999999999999,141
Western University,Canada,39.5,42.1,76.7,99.5,87.0,68.96000000000001,142
Humboldt University of Berlin,Germany,53.3,63.5,84.9,65.5,76.8,68.8,143
University of Nottingham,United Kingdom,43.6,46.2,88.3,71.8,93.6,68.7,144
University of Cologne,Germany,42.9,47.5,86.0,96.5,70.5,68.67999999999999,145
University of Oslo,Norway,46.6,52.4,91.6,74.5,77.7,68.56,146
TU Dresden,Germany,47.2,50.6,78.6,99.8,65.9,68.42,147
Medical University of Vienna,Austria,39.7,29.7,93.9,97.5,81.0,68.36,148
University of Wollongong,Australia,34.6,37.4,85.4,91.2,92.0,68.12,149
Radboud University Nijmegen,Netherlands,38.4,50.4,90.4,81.0,79.0,67.84,150
Vrije Universiteit Amsterdam,Netherlands,37.4,49.6,92.9,73.0,86.2,67.82000000000001,151
Medical University of Innsbruck,Austria,31.5,30.2,89.8,99.0,88.5,67.8,152
University of Waterloo,Canada,41.0,48.9,83.1,77.1,88.4,67.7,153
University of Würzburg,Germany,39.8,44.1,92.7,99.9,61.0,67.5,154
Aalto University,Finland,41.7,43.1,81.3,88.2,82.7,67.4,155
University of York,United Kingdom,42.4,44.2,90.6,66.8,92.9,67.38,156
Pompeu Fabra University,Spain,36.0,44.6,90.0,83.9,82.2,67.34,157
Medical University of Graz,Austria,30.5,34.6,92.0,96.6,82.6,67.25999999999999,158
Ohio State University (Main campus),United States,55.0,51.7,87.6,83.6,58.4,67.25999999999999,159
Korea University,South Korea,49.3,48.6,72.6,99.8,65.7,67.2,160
University of Calgary,Canada,34.4,42.8,83.6,88.9,85.7,67.08,161
University of Ottawa,Canada,37.2,44.7,85.1,81.4,87.0,67.08,162
Chalmers University of Technology,Sweden,41.7,46.0,74.0,94.6,78.6,66.97999999999999,163
University of Macau,Macao,37.7,39.0,90.7,70.4,96.6,66.88,164
University of Liverpool,United Kingdom,40.1,40.7,92.1,65.7,95.5,66.82000000000001,165
Lancaster University,United Kingdom,41.6,40.8,89.1,66.4,96.2,66.82000000000001,166
Ulm University,Germany,39.7,40.5,87.9,99.7,65.3,66.62,167
University of Cape Town,South Africa,37.8,45.3,86.6,80.6,82.4,66.53999999999999,168
University of Göttingen,Germany,49.2,54.0,88.2,70.7,70.5,66.52000000000001,169
National Taiwan University (NTU),Taiwan,53.3,54.6,69.0,100.0,55.0,66.38,170
The University of Osaka,Japan,63.5,65.4,51.8,100.0,50.7,66.28,171
University of Leicester,United Kingdom,34.9,34.9,96.1,69.7,95.5,66.22,172
Michigan State University,United States,54.9,53.5,83.5,70.0,69.1,66.2,173
University of Florida,United States,54.4,56.8,79.1,89.9,50.7,66.17999999999999,174
University of Erlangen-Nuremberg,Germany,42.1,48.4,78.5,100.0,61.8,66.16,175
Tokyo Institute of Technology,Japan,61.1,63.9,47.5,100.0,57.6,66.02000000000001,176
Vrije Universiteit Brussel,Belgium,37.6,42.7,81.1,90.4,78.3,66.02000000000001,177
University of Luxembourg,Luxembourg,39.2,39.5,77.1,81.3,92.7,65.96000000000001,178
Università della Svizzera italiana,Switzerland,36.1,26.5,81.0,87.5,98.4,65.9,179
University of Mannheim,Germany,36.6,44.8,87.1,94.4,66.6,65.9,180
Queensland University of Technology,Australia,33.1,40.0,88.7,86.7,80.8,65.86,181
Durham University,United Kingdom,43.6,43.9,83.7,62.5,95.5,65.84,182
University of Aberdeen,United Kingdom,34.8,36.0,81.9,79.1,97.4,65.84,183
Queen’s University Belfast,United Kingdom,35.2,37.8,89.8,67.6,98.3,65.74,184
University of St Andrews,United Kingdom,47.4,44.0,76.9,65.5,94.8,65.72,185
Penn State (Main campus),United States,54.5,62.3,83.0,70.9,57.6,65.66000000000001,186
Wuhan University,China,52.8,46.3,90.1,98.2,40.9,65.66,187
University of Barcelona,Spain,41.6,50.1,90.2,80.5,65.6,65.6,188
Pohang University of Science and Technology (POSTECH),South Korea,55.9,50.0,78.8,100.0,43.0,65.53999999999999,189
Linköping University,Sweden,29.8,41.2,88.4,95.3,73.0,65.53999999999999,190
University of Surrey,United Kingdom,33.8,34.7,89.0,73.3,96.8,65.52000000000001,191
TU Wien,Austria,45.0,46.7,55.1,93.0,87.7,65.5,192
Cardiff University,United Kingdom,37.6,38.9,88.3,70.2,91.9,65.38,193
University of Konstanz,Germany,38.6,43.2,73.4,96.6,74.6,65.28,194
University of Reading,United Kingdom,38.6,38.5,86.6,66.6,95.3,65.11999999999999,195
