University,Location,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score,Overall Score,Rank
The University of Texas at San Antonio,United States,22.4,24.4,76.6,60.1,41.9,45.08,664
Cyprus University of Technology,Cyprus,26.9,23.8,71.4,33.1,69.9,45.02,665
Guangdong University of Technology,China,17.6,18.9,79.5,82.5,26.2,44.94,666
Masaryk University,Czechia,26.2,32.4,52.9,45.7,67.4,44.92,667
London Metropolitan University,United Kingdom,16.5,13.5,72.7,30.3,91.5,44.9,668
Waseda University,Japan,33.8,27.1,42.7,66.4,54.3,44.86,669
Carlos III University of Madrid,Spain,30.8,21.6,43.7,65.0,62.9,44.800000000000004,670
Fuzhou University,China,19.2,18.8,72.6,77.2,36.0,44.760000000000005,671
Beirut Arab University,Lebanon,48.8,23.0,43.3,19.5,88.9,44.7,672
University of the Basque Country,Spain,27.8,23.9,66.3,60.2,45.2,44.67999999999999,673
The Catholic University of America,United States,44.6,20.3,42.7,66.0,49.6,44.64,674
King Mongkut’s University of Technology Thonburi,Thailand,22.5,23.6,58.0,75.2,43.7,44.6,675
Florida Institute of Technology,United States,31.1,20.2,46.1,63.4,62.1,44.58,676
Glasgow Caledonian University,United Kingdom,18.5,13.7,63.9,47.4,79.4,44.58,677
Quaid-i-Azam University,Pakistan,31.6,23.6,84.4,26.9,56.3,44.56,678
University of Wolverhampton,United Kingdom,19.2,14.9,60.2,48.1,80.3,44.54,679
King Faisal University,Saudi Arabia,20.1,14.9,73.6,38.6,75.3,44.5,680
KIIT University,India,38.5,17.4,68.6,55.9,41.7,44.42,681
University of Parma,Italy,20.4,23.7,73.8,66.0,38.2,44.419999999999995,682
University of Denver,United States,37.7,24.7,64.3,55.5,39.8,44.4,683
Okayama University,Japan,35.7,22.7,38.5,87.2,37.7,44.36,684
Ontario Tech University,Canada,17.7,25.0,61.4,53.6,64.0,44.339999999999996,685
Sciences Po,France,28.3,26.5,62.7,18.5,85.5,44.3,686
Southern Illinois University Carbondale,United States,37.1,23.6,43.3,76.7,40.7,44.279999999999994,687
Harbin Engineering University,China,26.8,31.5,47.3,91.9,23.8,44.260000000000005,688
Ozyegin University,Turkey,19.2,24.6,49.9,68.4,59.2,44.260000000000005,689
IMT Nord Europe,France,33.0,29.0,22.8,64.5,71.8,44.220000000000006,690
University of Tunis El Manar,Tunisia,44.5,25.4,29.7,66.5,54.9,44.2,691
Oxford Brookes University,United Kingdom,25.8,20.0,56.9,29.8,88.5,44.2,692
Xi’an Jiaotong-Liverpool University,China,19.8,16.3,69.8,38.8,76.2,44.17999999999999,693
Jagiellonian University,Poland,41.2,32.3,51.2,51.0,44.3,44.0,694
South China Normal University,China,24.6,23.1,65.4,69.0,37.8,43.980000000000004,695
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,33.8,21.3,63.4,44.3,57.1,43.980000000000004,696
Mahidol University,Thailand,38.2,23.2,48.2,61.2,49.0,43.96,697
Clark University,United States,28.0,19.8,57.4,44.7,69.8,43.94,698
Wilfrid Laurier University,Canada,15.6,20.2,55.2,61.4,67.2,43.92,699
University of Calabria,Italy,36.5,20.3,64.9,55.6,42.2,43.9,700
Inha University,South Korea,30.9,27.6,44.2,77.5,39.2,43.879999999999995,701
National Taipei University of Technology,Taiwan,27.2,25.0,37.5,85.9,43.7,43.86,702
University of Stavanger,Norway,25.4,16.4,71.6,30.4,75.4,43.839999999999996,703
Rochester Institute of Technology,United States,23.0,20.8,66.4,61.3,47.7,43.839999999999996,704
University of Bari Aldo Moro,Italy,19.8,25.7,74.4,61.7,37.5,43.82000000000001,705
Egypt-Japan University of Science and Technology (E-JUST),Egypt,34.2,28.4,68.2,37.3,51.0,43.82000000000001,706
Leeds Beckett University,United Kingdom,17.8,15.5,66.1,47.8,71.8,43.8,707
University of Clermont Auvergne,France,20.9,18.4,52.1,59.7,67.8,43.78000000000001,708
ZHAW Zurich University of Applied Sciences,Switzerland,22.6,17.0,46.7,60.3,71.9,43.7,709
Mansoura University,Egypt,20.3,13.0,70.6,37.4,77.1,43.67999999999999,710
Robert Gordon University,United Kingdom,17.2,13.4,61.4,38.0,88.3,43.660000000000004,711
SUNY Binghamton University,United States,33.4,24.8,56.8,62.5,40.6,43.62,712
Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,38.8,22.4,61.1,23.1,72.3,43.54,713
Jordan University of Science and Technology,Jordan,20.6,15.4,64.6,46.3,70.6,43.49999999999999,714
University of Technology of Compiègne,France,33.7,12.1,28.4,58.7,84.4,43.46,715
National Central University,Taiwan,31.8,24.7,28.9,88.2,43.6,43.440000000000005,716
Teesside University,United Kingdom,19.0,14.2,68.8,28.2,86.9,43.42,717
Prince Sattam Bin Abdulaziz University,Saudi Arabia,22.4,14.3,80.7,23.6,76.1,43.42,718
Northern Illinois University,United States,29.7,17.2,56.8,51.0,62.4,43.42,719
University of Udine,Italy,28.9,20.5,68.3,57.8,41.5,43.4,720
Shahid Beheshti University of Medical Sciences,Iran,46.2,21.9,50.1,69.8,28.9,43.38,721
Sogang University,South Korea,29.4,32.1,39.2,73.6,42.5,43.36,722
Jamia Millia Islamia,India,41.0,15.8,78.6,40.9,40.4,43.339999999999996,723
National Autonomous University of Mexico,Mexico,28.4,29.8,35.6,63.0,59.8,43.32000000000001,724
Tokyo University of Agriculture and Technology,Japan,34.0,28.8,30.2,84.8,38.8,43.32000000000001,725
Clarkson University,United States,32.1,18.0,38.4,63.7,64.4,43.32,726
Tashkent Institute of Irrigation and Agricultural Mechanisation,Uzbekistan,33.4,12.8,81.3,48.8,39.9,43.24,727
Southwest Jiaotong University,China,26.4,22.8,57.5,87.3,22.0,43.2,728
University of Haifa,Israel,26.7,29.3,66.9,58.4,34.4,43.14,729
University of Roehampton,United Kingdom,22.1,21.8,55.9,29.3,86.5,43.120000000000005,730
Wroclaw Medical University,Poland,43.4,17.2,74.8,43.0,37.1,43.099999999999994,731
Campus Bio-Medico University of Rome,Italy,34.6,25.6,74.2,49.4,31.6,43.08,732
North China Electric Power University,China,22.1,28.1,53.8,89.0,22.2,43.04,733
Technical University of Madrid,Spain,25.5,18.1,48.8,68.1,54.6,43.019999999999996,734
The University of Jordan,Jordan,30.4,15.1,62.8,35.4,71.3,43.0,735
University of Tabriz,Iran,27.9,21.4,75.7,44.9,45.0,42.980000000000004,736
China University of Petroleum (East China),China,23.1,24.4,60.3,84.1,23.0,42.98,737
University of Aveiro,Portugal,29.2,30.1,54.9,52.6,47.7,42.9,738
University of Derby,United Kingdom,19.1,13.8,73.0,30.3,78.3,42.9,739
"International Institute of Information Technology, Hyderabad",India,26.5,21.2,67.8,57.5,41.3,42.86,740
Brno University of Technology,Czechia,25.1,17.9,37.8,72.6,60.4,42.76,741
American University in Cairo,Egypt,26.5,26.8,55.4,33.2,71.9,42.76,742
Zhejiang Normal University,China,20.4,20.2,78.9,59.4,34.7,42.720000000000006,743
Kaohsiung Medical University,Taiwan,27.1,27.7,44.6,83.0,30.9,42.660000000000004,744
University of Regina,Canada,18.6,20.4,66.5,37.6,70.1,42.64,745
Norwegian University of Life Sciences,Norway,30.8,15.1,59.7,39.0,68.6,42.64,746
University of Ljubljana,Slovenia,25.9,21.5,54.9,68.5,42.3,42.620000000000005,747
Universitat Ramon Llull,Spain,19.8,17.2,65.5,34.1,75.9,42.5,748
Kumamoto University,Japan,32.6,18.8,40.8,81.2,39.1,42.5,749
University of Sassari,Italy,32.5,26.2,63.9,48.6,41.1,42.459999999999994,750
University of Debrecen,Hungary,42.2,19.9,40.9,48.8,60.0,42.36,751
Charles Sturt University,Australia,18.3,18.2,63.1,52.1,60.1,42.36,752
University of Savoie Mont Blanc,France,16.8,19.8,60.5,53.5,61.2,42.36,753
North-West University,South Africa,21.2,19.9,64.9,48.3,57.5,42.36,754
University of Rhode Island,United States,27.8,21.5,58.1,51.6,52.6,42.32,755
The Open University,United Kingdom,17.0,15.2,67.5,48.4,63.3,42.279999999999994,756
University of Lleida,Spain,21.1,22.9,62.5,59.3,45.4,42.24,757
"University of Nevada, Las Vegas",United States,28.3,25.7,69.2,51.1,36.8,42.220000000000006,758
Yıldız Technical University,Turkey,28.0,28.2,47.4,67.5,39.8,42.17999999999999,759
Universiti Malaysia Sarawak (UNIMAS),Malaysia,30.2,20.9,25.0,73.3,61.5,42.17999999999999,760
University of Palermo,Italy,32.4,25.8,64.7,51.3,36.6,42.16,761
University of Lancashire,United Kingdom,19.1,13.7,57.3,37.3,83.3,42.14,762
Qassim University,Saudi Arabia,35.8,23.1,48.3,22.0,81.5,42.14,763
University of Tuscia,Italy,23.1,23.7,66.3,53.7,43.8,42.120000000000005,764
SRUC (Scotland’s Rural College),United Kingdom,25.8,13.7,79.0,28.1,63.9,42.1,765
University of Vigo,Spain,23.9,19.8,60.0,57.7,49.0,42.08,766
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,42.7,19.5,41.5,45.8,60.6,42.019999999999996,767
Shiraz University of Technology,Iran,31.2,22.8,78.9,40.5,36.5,41.980000000000004,768
University of Insubria,Italy,18.4,23.1,80.7,46.9,40.8,41.98,769
European University Cyprus,Cyprus,21.0,15.6,61.8,19.5,91.6,41.9,770
University of Nova Gorica,Slovenia,29.4,17.4,43.2,27.4,92.0,41.88,771
University of International Business and Economics,China,26.8,18.4,85.2,22.0,57.0,41.88,772
Taif University,Saudi Arabia,15.7,16.0,80.0,21.2,76.5,41.88,773
New Mexico State University (Main campus),United States,27.4,23.2,58.0,56.0,44.8,41.879999999999995,774
Amedeo Avogadro University of Eastern Piedmont,Italy,13.3,23.4,71.6,51.2,49.5,41.8,775
Mahatma Gandhi University,India,44.6,36.9,64.8,34.5,28.0,41.760000000000005,776
University of Ha’il,Saudi Arabia,22.2,11.5,73.2,24.3,77.4,41.720000000000006,777
COMSATS University Islamabad,Pakistan,19.2,15.9,87.0,36.5,49.9,41.7,778
Manipal Academy of Higher Education,India,42.6,17.0,47.8,50.1,51.0,41.7,779
UPES,India,31.6,21.4,79.0,21.3,54.9,41.64,780
University of Zaragoza,Spain,27.6,19.7,48.2,69.0,43.5,41.6,781
Ohio University (Main campus),United States,33.0,20.2,60.8,56.5,37.3,41.56,782
University of Rome III,Italy,25.5,26.5,54.8,58.1,42.7,41.52,783
Baqiyatallah University of Medical Sciences,Iran,47.0,25.2,51.2,61.7,22.3,41.480000000000004,784
Jönköping University,Sweden,20.2,20.1,73.3,28.9,64.8,41.46,785
University of Seville,Spain,23.5,26.7,55.0,56.0,45.9,41.42,786
Multimedia University,Malaysia,24.2,19.5,36.8,74.3,52.3,41.42,787
Harokopio University of Athens,Greece,18.5,28.8,78.2,41.5,40.1,41.42,788
University of Girona,Spain,22.1,24.0,53.4,50.4,56.8,41.339999999999996,789
Air University,Pakistan,23.0,12.7,82.6,38.4,49.3,41.2,790
Indian Institute of Technology Indore,India,43.6,27.1,64.5,35.5,35.0,41.14,791
University of Beira Interior,Portugal,21.2,22.9,67.3,42.0,52.2,41.11999999999999,792
Ton Duc Thang University,Vietnam,14.9,14.5,89.0,26.1,60.9,41.08,793
University of Wyoming,United States,35.1,19.4,59.3,53.0,38.6,41.08,794
Panthéon-Sorbonne University – Paris 1,France,34.0,33.8,37.1,34.1,66.4,41.08,795
Université de Bretagne Occidentale,France,26.4,19.4,52.1,45.3,62.1,41.059999999999995,796
"University of Veterinary and Animal Sciences, Lahore",Pakistan,21.3,16.3,68.0,46.1,53.6,41.059999999999995,797
Birmingham City University,United Kingdom,18.3,12.1,66.6,23.3,84.9,41.04,798
Jeonbuk National University,South Korea,30.7,27.8,44.9,67.2,34.5,41.02,799
Pablo de Olavide University,Spain,23.6,18.3,59.0,52.2,52.0,41.02,800
Universidade Federal do Rio Grande do Sul,Brazil,36.7,24.1,53.3,56.1,34.8,41.0,801
University of Camerino (Unicam),Italy,18.9,18.3,58.3,56.8,52.5,40.96,802
China Pharmaceutical University,China,26.2,20.0,54.1,82.3,21.5,40.82000000000001,803
University of Córdoba,Spain,25.9,20.4,62.1,43.3,52.3,40.8,804
American University,United States,34.8,19.0,65.0,40.9,44.0,40.739999999999995,805
University of Santiago de Compostela,Spain,30.2,21.7,58.7,44.9,48.1,40.72,806
Nanjing Forestry University,China,21.5,21.4,83.3,49.2,27.8,40.64,807
University of Salamanca,Spain,31.4,23.1,48.8,44.2,55.3,40.56,808
Hacettepe University,Turkey,30.7,29.3,50.2,65.6,26.8,40.52,809
Aristotle University of Thessaloniki,Greece,21.3,19.3,64.6,60.6,36.8,40.519999999999996,810
University of Warsaw,Poland,34.8,31.6,53.6,36.4,46.1,40.5,811
National Veterinary School of Alfort (EnvA),France,44.3,11.8,44.3,46.4,55.7,40.5,812
Universiti Teknologi Brunei,Brunei Darussalam,28.5,13.4,62.0,25.2,73.1,40.44,813
Athens University of Economics and Business,Greece,18.2,23.5,52.6,62.9,44.9,40.42,814
Baylor University,United States,40.6,21.6,56.4,45.6,37.9,40.42,815
Qingdao University,China,17.4,18.6,84.0,58.0,23.9,40.38,816
University of Bedfordshire,United Kingdom,16.6,14.0,56.4,30.1,84.7,40.36,817
Chonnam National University,South Korea,32.2,28.8,45.2,64.2,31.4,40.36,818
Nanjing Normal University,China,25.0,16.6,69.5,62.6,28.1,40.36,819
University of the Aegean,Greece,19.1,22.5,49.0,78.6,32.3,40.3,820
University of the Western Cape,South Africa,23.8,24.8,63.9,23.6,65.1,40.239999999999995,821
William & Mary,United States,40.5,21.9,56.6,43.8,38.0,40.160000000000004,822
University of the South Pacific,Fiji,15.0,17.3,62.2,29.8,76.4,40.14,823
University of East London,United Kingdom,20.9,15.4,46.4,30.7,87.3,40.14,824
Sheffield Hallam University,United Kingdom,18.9,14.0,62.0,33.7,72.0,40.120000000000005,825
University of Chile,Chile,25.6,21.3,48.3,55.8,49.6,40.12,826
Capital Medical University,China,36.0,22.5,62.7,54.4,25.0,40.12,827
Golestan University,Iran,21.7,13.3,79.7,24.2,61.6,40.1,828
Islamic University of Madinah,Saudi Arabia,31.0,10.5,49.4,22.1,87.3,40.06,829
Covenant University,Nigeria,23.1,25.0,51.0,53.9,47.2,40.04,830
Czech Technical University in Prague,Czechia,30.8,18.9,31.3,58.7,60.5,40.04,831
Université Polytechnique Hauts-de-France,France,16.6,17.2,36.2,60.8,69.3,40.02,832
Technological University Dublin,Ireland,17.9,13.7,48.4,55.7,64.3,40.0,833
Management & Science University (MSU),Malaysia,29.9,11.5,50.8,19.5,88.3,40.0,834
University of Alcalá,Spain,27.5,17.0,53.6,43.3,58.5,39.98,835
Lorestan University of Medical Sciences,Iran,39.8,18.2,66.8,48.4,26.7,39.98,836
Old Dominion University,United States,26.0,20.4,56.6,59.3,37.5,39.96,837
Aligarh Muslim University,India,42.4,15.3,65.9,36.3,39.8,39.94,838
University of Memphis,United States,30.7,19.5,50.2,62.0,37.1,39.9,839
Jouf University,Saudi Arabia,24.2,13.5,65.7,19.3,76.8,39.9,840
Chiba University,Japan,33.3,20.4,42.8,68.5,34.4,39.88,841
Toyota Technological Institute,Japan,27.8,20.2,44.6,71.5,35.3,39.879999999999995,842
Jazan University,Saudi Arabia,21.7,11.0,70.3,19.5,76.7,39.839999999999996,843
University of Tabuk,Saudi Arabia,22.4,10.5,69.0,20.8,76.2,39.78,844
Riga Technical University,Latvia,25.9,24.1,32.9,52.6,63.3,39.760000000000005,845
National Technical University of Athens,Greece,30.3,23.5,55.1,54.4,35.4,39.74,846
Universidade Federal de Santa Catarina,Brazil,33.7,22.4,40.4,66.2,35.9,39.72,847
Shiraz University,Iran,26.4,24.6,53.8,62.3,31.4,39.7,848
Universidade Estadual Paulista (Unesp),Brazil,41.6,32.9,36.8,48.3,38.8,39.67999999999999,849
Tabriz University of Medical Sciences,Iran,40.9,15.3,70.2,37.0,34.9,39.660000000000004,850
Nanjing University of Information Science and Technology,China,18.7,18.7,67.8,53.2,39.8,39.64,851
Université d’Orléans,France,18.6,15.8,46.9,46.6,70.2,39.620000000000005,852
University of Tours,France,29.5,16.4,43.7,46.6,61.9,39.62,853
Reichman University,Israel,13.6,18.0,63.3,41.6,61.6,39.62,854
Cyprus International University,Northern Cyprus,15.0,11.4,81.9,17.1,72.6,39.6,855
University of Latvia,Latvia,19.8,28.6,45.0,54.0,50.4,39.56,856
Gabriele d‘Annunzio University,Italy,17.0,20.2,66.3,55.2,39.0,39.54,857
Bahçeşehir University,Turkey,18.3,23.2,59.1,35.0,62.1,39.54,858
University of Castilla-La Mancha,Spain,24.0,18.5,55.7,55.0,44.5,39.54,859
University of Franche-Comté,France,20.5,15.8,40.2,49.9,71.1,39.5,860
Toyohashi University of Technology (TUT),Japan,29.1,21.2,21.5,81.2,44.4,39.480000000000004,861
Guangzhou University,China,20.9,20.4,79.9,44.1,32.0,39.46,862
University of South Wales,United Kingdom,18.1,12.1,38.7,49.8,78.6,39.46,863
Montana State University,United States,26.0,20.8,51.1,61.8,37.5,39.44,864
Chungnam National University,South Korea,29.7,29.9,36.0,76.0,25.5,39.42,865
Babol Noshirvani University of Technology,Iran,22.8,22.1,92.0,32.9,27.2,39.4,866
Iran University of Medical Sciences,Iran,47.9,17.0,53.5,39.7,38.4,39.300000000000004,867
Cairo University,Egypt,26.9,19.7,59.9,42.5,47.3,39.260000000000005,868
Lahore University of Management Sciences,Pakistan,25.7,19.7,60.6,38.1,52.1,39.239999999999995,869
Tokyo Medical University,Japan,35.3,17.0,53.1,69.5,21.2,39.22,870
Reykjavík University,Iceland,17.1,25.0,62.8,29.7,61.5,39.22,871
Indian Institute of Technology Guwahati,India,35.6,26.1,50.6,52.7,30.9,39.18,872
University of Patras,Greece,17.4,18.4,56.1,69.3,34.7,39.17999999999999,873
Kanazawa University,Japan,34.7,20.0,34.5,72.1,34.4,39.14,874
Lakehead University,Canada,16.3,24.2,53.5,42.0,59.5,39.1,875
The University of Alabama,United States,27.1,22.1,61.3,46.1,38.9,39.1,876
Sukkur IBA University,Pakistan,18.8,26.0,80.7,20.1,49.4,39.0,877
National Chung Hsing University,Taiwan,25.5,25.1,34.2,75.1,34.8,38.94,878
Duy Tan University,Vietnam,12.7,14.6,88.7,24.1,54.5,38.92,879
University of Malakand,Pakistan,26.4,12.7,74.1,31.1,50.0,38.86,880
Universiti Tunku Abdul Rahman (UTAR),Malaysia,19.8,16.1,51.8,58.6,47.7,38.8,881
Ming Chi University of Technology,Taiwan,18.9,27.9,45.9,67.5,33.7,38.779999999999994,882
Jaume I University,Spain,25.4,22.0,53.0,47.5,45.9,38.760000000000005,883
University of Szeged,Hungary,30.9,18.3,40.2,47.2,57.1,38.74,884
University of Jaén,Spain,20.9,20.8,69.6,36.6,45.8,38.739999999999995,885
Lovely Professional University,India,21.6,14.6,84.7,24.0,48.8,38.739999999999995,886
Université de Poitiers,France,30.1,25.6,32.0,43.0,62.8,38.7,887
Changsha University of Science and Technology,China,15.8,14.7,70.1,66.8,26.0,38.67999999999999,888
University of Malta,Malta,23.9,17.3,61.0,33.3,57.8,38.660000000000004,889
Eötvös Loránd University,Hungary,30.2,21.0,53.5,36.9,51.6,38.64,890
Palacký University Olomouc,Czechia,23.3,24.8,44.9,39.4,60.4,38.56,891
VIT University,India,28.4,15.1,69.4,36.0,43.9,38.56,892
Urmia University,Iran,29.8,22.6,59.8,37.4,43.0,38.519999999999996,893
University of West London,United Kingdom,20.5,10.0,52.1,18.9,90.8,38.46,894
Yokohama City University,Japan,28.0,10.8,60.2,64.2,29.0,38.44,895
Huaqiao University,China,15.6,14.4,51.3,40.4,70.4,38.42,896
Future University in Egypt,Egypt,22.3,10.4,78.0,16.9,64.4,38.4,897
University of the Balearic Islands,Spain,26.2,16.4,56.6,41.2,51.5,38.379999999999995,898
Jamia Hamdard University,India,23.3,14.1,73.1,38.8,42.5,38.36,899
Institute of Chemical Technology,India,34.3,22.7,53.8,63.0,17.9,38.34,900
University of Alicante,Spain,26.1,21.3,46.9,56.4,40.9,38.32000000000001,901
Portland State University,United States,20.7,24.6,58.2,53.2,34.9,38.32,902
Government College University Faisalabad,Pakistan,21.3,17.2,83.3,21.0,48.5,38.260000000000005,903
National Institute of Technology Rourkela,India,29.6,21.0,63.6,55.2,21.9,38.260000000000005,904
University of Pécs,Hungary,40.9,18.7,35.2,39.0,57.4,38.24,905
"University of Engineering and Technology, Taxila",Pakistan,21.4,14.4,83.5,24.2,47.7,38.239999999999995,906
Tokushima University,Japan,29.6,21.4,25.6,88.7,25.5,38.160000000000004,907
Cardiff Metropolitan University,United Kingdom,18.7,13.7,45.8,28.2,84.4,38.160000000000004,908
Wenzhou Medical University,China,18.2,15.5,70.5,46.9,39.7,38.160000000000004,909
Symbiosis International University,India,31.7,14.2,76.6,20.7,47.6,38.16,910
Universidade Federal de São Paulo (UNIFESP),Brazil,32.4,23.3,44.6,55.0,35.4,38.14,911
Daffodil International University (DIU),Bangladesh,12.1,11.5,82.6,18.9,65.2,38.06,912
Open University of Catalonia,Spain,18.2,19.6,75.1,26.2,51.0,38.019999999999996,913
University of Murcia,Spain,23.4,19.8,52.9,57.0,37.0,38.019999999999996,914
Najran University,Saudi Arabia,14.0,11.1,71.0,17.5,76.5,38.019999999999996,915
Wenzhou University,China,16.2,15.8,83.3,37.6,37.1,38.0,916
Shahid Beheshti University,Iran,31.0,25.1,47.3,57.5,29.0,37.980000000000004,917
Hanoi Medical University,Vietnam,33.9,11.4,62.1,34.9,47.6,37.980000000000004,918
Universitat Internacional de Catalunya,Spain,22.6,16.5,57.1,23.9,69.5,37.92,919
Kyoto Prefectural University of Medicine,Japan,33.9,16.2,50.8,68.3,20.1,37.86,920
University of Cape Coast,Ghana,17.7,21.6,67.3,37.0,45.7,37.86,921
University of Vic – Central University of Catalonia,Spain,21.8,13.4,73.3,21.1,59.7,37.86,922
University of Salento,Italy,26.0,20.7,59.0,49.1,34.3,37.82000000000001,923
AGH University of Krakow,Poland,27.6,21.3,38.5,69.0,32.6,37.8,924
San Diego State University,United States,22.1,12.4,62.1,56.4,36.0,37.8,925
University of Delhi,India,41.2,27.5,43.2,53.2,23.8,37.78000000000001,926
Ferdowsi University of Mashhad,Iran,29.4,26.9,49.9,47.1,35.4,37.739999999999995,927
Northeast Normal University,China,28.8,16.5,62.0,49.7,31.5,37.7,928
Banaras Hindu University,India,48.7,17.9,65.9,29.6,26.4,37.7,929
Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,33.2,19.5,40.7,58.6,36.4,37.68,930
Vilnius University,Lithuania,27.2,18.3,48.1,45.9,48.8,37.660000000000004,931
"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)",France,23.8,15.8,29.8,46.8,71.9,37.620000000000005,932
"University of Chemistry and Technology, Prague",Czechia,36.7,15.1,27.2,54.3,54.6,37.58,933
Selçuk University,Turkey,25.8,24.3,37.9,67.5,32.4,37.58,934
"International Islamic University, Islamabad",Pakistan,20.2,11.4,77.3,20.3,58.6,37.56,935
Khwaja Fareed University of Engineering and Information Technology,Pakistan,12.0,11.9,75.7,36.9,51.3,37.56,936
Northern Border University,Saudi Arabia,23.3,12.3,55.9,21.1,75.1,37.54,937
Gorgan University of Agricultural Sciences and Natural Resources,Iran,31.3,11.1,73.8,33.7,37.7,37.519999999999996,938
"University of the Andes, Colombia",Colombia,23.8,21.0,47.6,36.3,58.9,37.519999999999996,939
University of Campania Luigi Vanvitelli,Italy,24.3,10.0,75.5,47.0,30.6,37.480000000000004,940
Wakayama Medical University,Japan,34.7,12.9,58.1,61.8,19.8,37.46,941
Bharathiar University,India,37.3,25.4,49.7,43.2,31.6,37.440000000000005,942
University of Management and Technology,Pakistan,16.6,10.7,82.2,26.3,51.3,37.42,943
Catholic University of Portugal,Portugal,18.0,21.0,59.3,32.0,56.7,37.4,944
Chung Yuan Christian University,Taiwan,17.7,25.7,36.9,64.9,41.8,37.4,945
Miguel Hernández University of Elche,Spain,19.9,18.8,43.8,62.5,41.9,37.38,946
Chiang Mai University,Thailand,28.6,19.4,46.5,52.2,39.9,37.32,947
Kafrelsheikh University,Egypt,27.8,9.5,76.0,21.1,52.1,37.3,948
Universiti Malaysia Terengganu (UMT),Malaysia,18.4,21.1,52.8,36.7,57.5,37.3,949
University of Texas at El Paso,United States,26.6,30.4,44.0,39.8,45.6,37.28,950
Florida Agricultural and Mechanical University,United States,33.6,18.9,38.9,43.2,51.4,37.2,951
University of Technology of Troyes,France,29.9,12.7,26.0,41.2,76.2,37.2,952
Alagappa University,India,36.0,14.0,62.3,29.7,43.9,37.18,953
University of Applied Sciences and Arts of Western Switzerland,Switzerland,24.3,13.5,33.4,29.2,85.4,37.160000000000004,954
Kadir Has University,Turkey,18.1,32.3,60.2,22.4,52.8,37.160000000000004,955
Thapar Institute of Engineering and Technology,India,26.3,13.9,83.3,28.9,33.4,37.160000000000004,956
University of Angers,France,15.1,14.1,43.6,48.1,64.8,37.14,957
K.N. Toosi University of Technology,Iran,22.0,21.0,61.1,45.1,36.3,37.1,958
The University of Electro-Communications,Japan,27.0,23.1,28.6,68.1,38.7,37.1,959
Lithuanian University of Health Sciences,Lithuania,28.9,13.3,59.9,27.0,56.3,37.08,960
University of Seoul,South Korea,31.3,29.2,40.9,45.9,38.0,37.06,961
"Birla Institute of Technology and Science, Pilani",India,27.1,19.8,69.4,42.0,27.0,37.06,962
Osaka Metropolitan University,Japan,29.2,19.6,29.3,80.5,26.7,37.059999999999995,963
University of Rouen Normandie,France,22.8,13.7,40.1,50.1,58.4,37.019999999999996,964
Obuda University,Hungary,18.5,26.7,69.2,22.1,48.3,36.96,965
Panjab University,India,35.7,18.0,65.6,41.6,23.9,36.96,966
Federal University of Minas Gerais,Brazil,40.9,21.5,40.3,49.5,32.4,36.92,967
University of Algarve,Portugal,18.2,20.6,54.4,27.3,63.5,36.8,968
Abdul Wali Khan University Mardan,Pakistan,18.8,12.7,81.2,21.8,49.4,36.78,969
Cankaya University,Turkey,13.7,15.4,82.9,19.5,52.3,36.760000000000005,970
Nanjing Medical University,China,36.8,15.7,59.5,46.7,24.8,36.7,971
Capital University of Science and Technology,Pakistan,17.0,16.1,81.1,21.7,47.6,36.699999999999996,972
University of Zagreb,Croatia,26.0,16.6,42.3,67.6,30.9,36.68,973
Sumy State University,Ukraine,17.9,15.5,69.8,22.4,57.8,36.67999999999999,974
"Amity University, Noida",India,27.0,14.0,74.5,27.4,40.3,36.64,975
Medical University of Sofia,Bulgaria,31.9,20.7,31.5,47.1,51.8,36.6,976
National Chengchi University,Taiwan,26.2,28.5,24.5,51.5,52.2,36.58,977
University of Bisha,Saudi Arabia,19.9,8.6,63.4,16.6,74.3,36.56,978
Gdańsk University of Technology,Poland,18.8,18.6,52.4,53.5,39.4,36.540000000000006,979
Zhejiang Sci-Tech University,China,17.0,20.0,48.5,74.1,23.0,36.519999999999996,980
University of León,Spain,23.2,16.2,43.5,62.8,36.6,36.459999999999994,981
Fu Jen Catholic University,Taiwan,21.9,28.8,28.3,73.5,29.6,36.42,982
Ain Shams University,Egypt,26.8,16.4,46.2,39.4,53.2,36.4,983
Zhejiang Gongshang University,China,21.0,13.2,69.4,39.8,38.5,36.38,984
Chungbuk National University,South Korea,31.9,27.9,33.0,56.5,32.6,36.38,985
Parthenope University of Naples,Italy,20.0,22.5,77.7,29.2,32.0,36.28,986
Yokohama National University,Japan,24.8,23.1,21.6,76.2,35.7,36.279999999999994,987
Shantou University,China,18.9,17.2,63.3,41.7,40.2,36.260000000000005,988
University of Ghana,Ghana,17.3,25.5,44.8,44.1,49.5,36.239999999999995,989
University of the Punjab,Pakistan,27.5,15.1,63.5,26.6,48.4,36.22,990
University of Lahore,Pakistan,19.1,11.3,76.9,19.5,54.2,36.2,991
Medical University of Lodz,Poland,29.0,11.3,65.1,43.0,32.0,36.08,992
