2024 RANK,2023 RANK,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,female_student_pct,stats_proportion_of_isr,subjects_offered,University_Name,Master_Country
1300.5,1300.5,L,FO,VH,5,A,8.0,601.0,8.0,601.0,5.3,701.0,2.9,701,3.6,701.0,10.9,693.0,1.8,701.0,8.0,701.0,1.2,701.0,0.0,15210.0,1501.0,0.0,15210.0,16.5,1659.0,12.1,1396.0,31.6,1409.0,18.3,1642.0,40.2,1111.0,25443.0,22.3,8.0,56.0,33.0,"Economics & Econometrics,Psychology,Languages, Literature & Linguistics,Geography,Chemistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,Archaeology,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Mathematics & Statistics,Business & Management,Law,Physics & Astronomy,History, Philosophy & Theology,Sport Science",Alexandru Ioan Cuza University,Romania
735.5,675.5,S,FO,VH,2,B,3.9,601.0,3.2,601.0,23.9,594.0,10.7,701,100.0,26.0,89.4,120.0,1.1,701.0,9.2,701.0,1.2,701.0,0.0,5080.0,550.5,0.0,5080.0,24.1,1073.0,15.2,1103.0,72.7,489.0,42.1,935.0,97.7,11.0,3274.0,10.8,32.0,56.0,14.0,"Mechanical & Aerospace Engineering,Business & Management,Other Health,Law,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Electrical & Electronic Engineering,General Engineering",Alfaisal University,Saudi Arabia
1100.5,1100.5,L,CO,VH,5,A,9.7,601.0,2.5,601.0,20.8,651.0,10.2,701,1.2,701.0,1.7,701.0,5.0,701.0,6.1,701.0,17.1,579.0,0.0,6110.0,700.5,0.0,6110.0,41.1,276.0,14.0,1203.0,61.6,741.0,34.3,1105.0,38.2,1182.0,20428.0,12.0,1.0,40.0,34.0,"Geography,Accounting & Finance,Sport Science,Psychology,History, Philosophy & Theology,Chemistry,Biological Sciences,Electrical & Electronic Engineering,Architecture,Politics & International Studies (incl Development Studies),Law,Mechanical & Aerospace Engineering,Chemical Engineering,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Education,Medicine & Dentistry,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sociology,Communication & Media Studies,Physics & Astronomy,Business & Management,Mathematics & Statistics,Computer Science,Other Health",Aligarh Muslim University,India
705.5,525.5,M,FO,VH,4,A,10.0,601.0,3.7,601.0,84.4,110.0,1.4,701,6.7,701.0,69.9,212.0,1.0,701.0,7.6,701.0,6.1,701.0,0.0,15220.0,1501.0,0.0,15220.0,20.5,1335.0,16.5,1004.0,15.2,1763.0,25.2,1331.0,64.4,497.0,9271.0,19.0,27.0,56.0,17.0,"Agriculture & Forestry,Communication & Media Studies,Languages, Literature & Linguistics,Mathematics & Statistics,Archaeology,Physics & Astronomy,Business & Management,Computer Science,Geography,Electrical & Electronic Engineering,Education,Civil Engineering,Chemistry,Accounting & Finance,Chemical Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sport Science,Law,Economics & Econometrics,Art, Performing Arts & Design,Biological Sciences,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences",Altai State University,Russia
795.5,725.5,M,CO,HI,5,B,16.2,542.0,22.8,418.0,30.0,522.0,4.1,701,3.0,701.0,15.6,610.0,1.2,701.0,33.3,231.0,3.0,701.0,0.0,6130.0,700.5,0.0,6130.0,35.2,454.0,17.1,960.0,57.2,844.0,38.5,1011.0,46.5,916.0,12771.0,12.0,12.0,62.0,19.0,"Law,Other Health,Economics & Econometrics,Computer Science,Accounting & Finance,Medicine & Dentistry,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Education,Sport Science,Psychology,Biological Sciences",American University,United States
364.0,369.0,S,CO,VH,3,B,20.0,438.0,39.1,243.0,20.7,653.0,20.0,559,100.0,2.0,100.0,6.0,6.4,701.0,36.9,202.0,3.0,701.0,30.3,6140.0,700.5,0.0,6140.0,24.5,1041.0,26.3,561.0,57.9,826.0,27.9,1237.0,88.6,142.0,4737.0,12.5,74.0,54.0,40.0,"Biological Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemical Engineering,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Architecture,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies",American University of Sharjah,United Arab Emirates
375.0,443.0,M,FO,VH,4,A,4.1,601.0,33.4,295.0,5.1,701.0,99.8,13,15.9,652.0,2.8,701.0,9.5,681.0,10.3,701.0,16.5,586.0,29.5,3530.0,375.5,0.0,3530.0,34.8,468.0,33.7,385.0,77.0,395.0,85.1,207.0,38.8,1159.0,9859.0,20.2,3.0,35.0,47.0,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Chemistry,General Engineering,Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering",Amirkabir University of Technology,"Iran, Islamic Republic of"
1100.5,1100.5,L,CO,VH,2,B,8.5,601.0,7.6,601.0,10.6,701.0,5.9,701,3.8,701.0,21.8,519.0,22.4,524.0,9.1,701.0,1.9,701.0,0.0,8120.0,900.5,0.0,8120.0,23.6,1103.0,14.0,1204.0,62.3,725.0,20.0,1528.0,31.1,1459.0,30989.0,17.1,7.0,52.0,34.0,"Communication & Media Studies,Mechanical & Aerospace Engineering,Civil Engineering,Art, Performing Arts & Design,Biological Sciences,Other Health,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Architecture,Geography,General Engineering,Sociology,Accounting & Finance,Business & Management,Sport Science,Chemistry,History, Philosophy & Theology,Psychology,Electrical & Electronic Engineering,Computer Science,Physics & Astronomy,Agriculture & Forestry,Education,Languages, Literature & Linguistics",Amity University,India
1100.5,1100.5,L,FC,VH,2,B,4.8,601.0,4.1,601.0,25.3,579.0,5.2,701,37.0,438.0,1.7,701.0,1.4,701.0,4.5,701.0,1.1,701.0,0.0,8130.0,900.5,0.0,8130.0,28.4,780.0,20.5,787.0,60.8,763.0,41.1,953.0,36.9,1246.0,22085.0,11.8,5.0,54.0,42.0,"Mechanical & Aerospace Engineering,Chemical Engineering,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,General Engineering,Physics & Astronomy,Computer Science,Agriculture & Forestry,Chemistry,Other Health",Amrita Vishwa Vidyapeetham,India
1100.5,1100.5,L,FC,MD,4,A,6.4,601.0,16.5,518.0,7.3,701.0,2.2,701,36.2,446.0,25.0,473.0,1.3,701.0,10.9,701.0,3.1,701.0,0.0,10120.0,1100.5,0.0,10120.0,13.3,1830.0,9.8,1666.0,65.4,668.0,21.0,1479.0,61.2,556.0,24835.0,21.7,11.0,66.0,27.0,"History, Philosophy & Theology,Veterinary Science,Other Health,Economics & Econometrics,Sociology,Sport Science,Archaeology,Geography,Business & Management,Mechanical & Aerospace Engineering,Medicine & Dentistry,Psychology,Mathematics & Statistics,General Engineering,Physics & Astronomy,Agriculture & Forestry,Architecture,Law,Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Accounting & Finance,Biological Sciences,Communication & Media Studies,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Art, Performing Arts & Design,Languages, Literature & Linguistics,Civil Engineering",An-Najah National University,"Palestinian Territory, Occupied"
