University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
University of Hull,United Kingdom,401-500,523,45.4-49.0,22.5,8.5,3.5,27.4,24.3,74.3,25.4,59.8,13.0,18.0,12305.0,0.21,57.4,67.4,36.4,85.4,16.8,85.2
Universiti Teknologi Brunei,Brunei,,525,,22.4,13.7,3.9,25.8,17.2,52.4,8.6,41.0,90.3,6.7,1306.0,0.07,100.0,5.5,1.0,45.3,34.2,1.0
Sabanci University,Turkey,351-400,526,49.1-51.0,22.3,18.1,37.5,31.7,37.9,69.5,19.2,90.2,34.5,20.5,3847.0,0.11,37.0,15.0,1.8,66.6,11.2,15.4
MGIMO University,Russia,,526,,22.3,11.8,21.3,25.8,17.2,52.4,1.4,41.0,100.0,16.3,16267.0,0.06,12.7,46.2,1.0,45.3,47.6,1.0
University of Madras,India,,526,,22.3,8.7,3.6,25.8,17.2,52.4,95.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,2.4,45.3,11.8,1.1
Edith Cowan University,Australia,351-400,529,49.1-51.0,22.2,8.7,8.1,23.7,26.2,86.9,41.0,69.2,6.2,29.8,17965.0,0.24,77.5,72.6,18.7,87.6,12.0,11.7
University of Genoa,Italy,401-500,530,45.4-49.0,22.1,17.4,3.8,36.1,28.3,78.0,40.6,73.4,11.3,16.5,21470.0,0.07,4.8,8.8,54.3,47.3,12.7,61.9
Universidad de Palermo,Argentina,601-800,530,37.0-41.8,22.1,9.3,17.8,18.9,22.5,69.8,1.1,47.2,90.5,22.0,33972.0,0.01,40.4,96.6,1.0,34.8,9.6,1.0
Aristotle University of Thessaloniki,Greece,801-1000,530,32.7-36.9,22.1,28.7,25.9,22.3,16.8,66.3,13.5,52.7,3.8,18.2,49654.0,0.05,1.4,4.0,75.4,38.1,15.7,36.6
Christian-Albrechts-University zu Kiel,Germany,,530,,22.1,18.6,10.1,25.8,17.2,52.4,16.1,41.0,47.7,16.3,16267.0,0.06,13.5,9.4,79.9,45.3,10.5,42.3
University of Crete,Greece,501-600,534,41.9-45.3,22,15.1,14.3,19.9,25.7,76.5,67.9,64.5,3.0,26.5,14119.0,0.04,1.7,3.8,13.4,47.4,8.9,3.5
China Agricultural University,China,,534,,22,9.6,2.1,25.8,17.2,52.4,78.7,41.0,19.9,16.3,16267.0,0.06,3.4,1.6,3.3,45.3,6.5,8.4
Peter the Great St. Petersburg Polytechnic University,Russia,351-400,534,49.1-51.0,22,16.7,9.0,43.4,31.3,67.4,3.0,61.6,77.6,10.0,16400.0,0.33,15.0,87.6,21.9,65.2,4.3,18.2
University of Salamanca,Spain,801-1000,534,32.7-36.9,22,26.8,15.0,32.0,21.8,50.4,6.9,39.9,23.2,14.7,24707.0,0.13,6.7,22.4,45.3,53.6,15.3,72.5
Universiti Utara Malaysia,Malaysia,401-500,538,45.4-49.0,21.9,20.6,28.0,38.4,27.6,69.7,7.1,28.1,40.4,11.5,12229.0,0.3,18.8,79.8,3.4,78.7,9.7,10.6
Universidad de Alcalá,Spain,801-1000,538,32.7-36.9,21.9,10.0,4.7,27.8,15.1,55.0,5.2,41.9,68.8,10.4,16260.0,0.24,20.0,66.3,37.9,64.4,9.4,74.3
Lahore University of Management Sciences,Pakistan,801-1000,540,32.7-36.9,21.8,15.7,72.0,23.3,16.7,60.2,6.0,43.1,35.1,14.2,4735.0,0.02,7.3,1.9,1.1,53.0,22.2,1.4
Universidad Nacional de La Plata,Argentina,,540,,21.8,38.7,31.0,25.8,17.2,52.4,2.1,41.0,23.8,16.3,16267.0,0.06,3.6,29.9,9.1,45.3,8.6,5.1
ITMO University,Russia,601-800,542,37.0-41.8,21.7,12.0,11.6,34.0,34.9,40.0,6.9,69.0,96.2,14.6,10902.0,0.18,21.4,38.9,27.3,67.1,7.3,15.0
University Ulm,Germany,193,542,59,21.7,7.6,3.9,40.6,41.2,87.9,33.7,99.6,78.3,26.4,10301.0,0.13,41.1,21.1,14.5,63.0,7.2,3.2
Universidad de Costa Rica,Costa Rica,1201-1500,544,22.8-28.2,21.6,33.5,37.6,19.3,9.1,43.0,1.8,19.5,34.7,14.8,34884.0,0.02,13.5,10.25,6.0,46.7,33.7,4.7
Singapore Management University,Singapore,,545,,21.5,11.8,15.3,25.8,17.2,52.4,20.9,41.0,10.5,16.3,16267.0,0.06,100.0,63.3,1.2,45.3,25.0,21.4
Bar-Ilan University,Israel,501-600,545,41.9-45.3,21.5,8.0,5.3,30.0,34.1,54.1,62.2,85.8,7.8,19.0,19599.0,0.04,47.9,2.9,10.2,46.8,15.2,28.4
Lehigh University,United States,601-800,548,37.0-41.8,21.4,5.8,4.2,33.0,22.5,57.6,38.4,63.6,26.2,11.2,6518.0,0.17,62.4,29.6,9.1,73.8,28.3,47.5
University of Eastern Finland,Finland,501-600,548,41.9-45.3,21.4,14.8,9.7,28.9,31.2,69.7,24.6,67.4,39.4,18.5,12237.0,0.05,30.9,4.8,62.4,48.5,8.1,28.4
Northumbria University at Newcastle,United Kingdom,501-600,548,41.9-45.3,21.4,10.5,15.9,21.5,22.7,75.8,16.0,40.4,10.7,16.1,23815.0,0.22,67.2,72.3,49.8,90.0,16.0,29.1
University of Nebraska - Lincoln,United States,401-500,551,45.4-49.0,21.3,10.8,5.9,33.8,31.1,71.5,33.7,67.0,18.8,16.6,23920.0,0.09,30.4,8.2,42.6,65.9,12.2,79.1
Hasselt University,Belgium,351-400,551,49.1-51.0,21.3,5.8,3.4,33.5,38.1,69.1,18.3,83.9,78.8,30.9,5749.0,0.14,76.0,23.9,27.2,71.6,10.2,15.9
Ajman University,United Arab Emirates,,551,,21.3,13.6,34.7,25.8,17.2,52.4,2.2,41.0,8.2,15.1,4823.0,0.82,100.0,100.0,2.0,45.3,13.3,3.0
Canadian University Dubai,United Arab Emirates,,551,,21.3,14.7,14.4,25.8,17.2,52.4,2.3,41.0,31.3,16.3,16267.0,0.06,100.0,100.0,1.0,45.3,22.3,1.0
Universiti Teknologi MARA - UiTM,Malaysia,1501+,555,9.7-22.7,21.2,28.9,47.6,20.2,14.7,28.6,2.8,23.9,15.8,16.3,60755.0,0.01,1.9,2.1,24.3,24.2,8.7,31.0
Politecnico di Bari,Italy,,556,,21.1,6.5,4.6,25.8,17.2,52.4,79.3,41.0,15.6,16.3,16267.0,0.06,5.0,7.9,4.1,45.3,5.5,1.1
Florida International University,United States,401-500,556,45.4-49.0,21.1,14.9,35.4,31.0,29.3,74.2,12.8,61.5,12.0,22.4,35006.0,0.09,21.1,12.1,68.1,51.0,14.2,39.0
INTI International University,Malaysia,,556,,21.1,5.0,14.8,25.8,17.2,52.4,1.7,41.0,84.3,16.3,16267.0,0.06,75.2,88.4,1.0,45.3,9.1,1.0
Renmin University of China,China,,556,,21.1,23.7,40.4,25.8,17.2,52.4,8.0,41.0,17.2,16.3,16267.0,0.06,7.0,5.3,1.5,45.3,62.4,18.2
"University of Chemistry and Technology, Prague",Czech Republic,1001-1200,556,28.3-32.6,21.1,6.1,7.9,32.8,14.7,29.0,12.9,45.7,99.0,8.3,4061.0,0.23,27.8,71.9,3.2,51.0,10.1,1.3
University of Plymouth,United Kingdom,401-500,561,45.4-49.0,21,9.0,12.1,24.4,21.9,79.5,29.1,66.1,12.2,17.1,15675.0,0.16,51.3,38.9,45.4,80.6,11.2,45.0
Chongqing University,China,351-400,561,49.1-51.0,21,8.4,3.8,32.8,38.2,75.9,70.4,79.6,13.2,20.1,42607.0,0.02,14.7,2.2,11.4,42.0,13.6,10.3
Ateneo de Manila University,Philippines,1001-1200,563,28.3-32.6,20.9,19.7,57.9,30.8,10.8,52.4,1.7,27.6,29.0,11.1,14168.0,0.01,3.3,2.7,1.1,33.5,54.6,1.7
Université de Fribourg,Switzerland,401-500,563,45.4-49.0,20.9,10.7,3.8,36.8,33.2,63.2,38.8,54.7,5.3,16.0,6961.0,0.15,100.0,45.4,8.9,83.1,20.4,5.2
