University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
University of South Florida,United States,251-300,563,53.1-55.8,20.9,13.2,10.2,31.7,36.4,87.6,36.6,99.9,7.9,19.0,40379.0,0.13,30.7,13.8,57.8,66.7,10.6,34.9
National Chengchi University,Taiwan,1001-1200,567,28.3-32.6,20.8,19.5,39.0,27.6,27.8,24.8,2.7,60.6,19.7,14.9,12329.0,0.12,27.1,23.5,1.0,48.8,81.0,1.9
University of Huddersfield,United Kingdom,501-600,567,41.9-45.3,20.8,12.5,15.0,28.3,25.0,66.3,20.9,44.4,6.7,19.8,14270.0,0.26,65.1,79.4,41.2,88.4,9.0,7.3
Bond University,Australia,401-500,567,45.4-49.0,20.8,4.7,5.2,28.2,23.1,82.5,22.8,23.1,44.1,11.2,3170.0,0.34,87.7,93.6,1.1,82.3,11.7,1.1
Universidad Adolfo Ibáñez,Chile,1201-1500,567,22.8-28.2,20.8,19.1,73.5,14.8,17.4,39.2,4.4,17.1,4.2,25.0,10606.0,0.05,37.7,4.2,1.2,64.1,13.7,1.1
Coventry University,United Kingdom,601-800,571,37.0-41.8,20.7,9.2,12.5,20.9,14.9,69.6,6.8,26.8,15.7,14.9,32635.0,0.48,74.8,100.0,50.7,95.6,13.7,26.6
Indian Institute of Technology Varanasi,India,,571,,20.7,4.4,3.6,25.8,17.2,52.4,88.7,41.0,3.9,16.3,16267.0,0.06,1.4,1.1,1.5,45.3,8.2,4.0
Chiang Mai University,Thailand,801-1000,571,32.7-36.9,20.7,33.8,19.3,28.5,19.1,46.3,3.9,58.1,16.4,13.6,33649.0,0.04,5.1,4.1,20.9,39.5,17.1,59.2
Warsaw University of Technology,Poland,1201-1500,571,22.8-28.2,20.7,22.8,49.8,22.0,19.6,33.3,4.3,53.5,38.7,17.1,23167.0,0.07,1.8,10.3,9.7,31.7,11.5,2.1
University of South Carolina,United States,401-500,575,45.4-49.0,20.6,14.7,11.8,35.9,24.6,75.1,33.6,63.4,8.9,16.9,32770.0,0.05,37.8,3.5,40.8,59.2,17.1,39.6
