university,year_QS,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,University_Standard,year_THE,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
Thammasat University,2022,601-650,,https://www.topuniversities.com/universities/thammasat-university,Thailand,Bangkok,Asia,https://www.topuniversities.com/sites/default/files/thammasat-university_592560cf2aeae70239af4ce1_small.jpg,Public,High,12.0,422,L,2.460,Thammasat University,2022,1201+,Thammasat University,Thailand,10.6–22.3,22.2,15.7,11.5,39.2,32.4,
Tokyo University of Agriculture and Technology,2022,601-650,,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-university-of-agriculture-and-technology_1030_small.jpg,Public,Very High,15.0,335,M,388,Tokyo University of Agriculture and Technology,2022,1001–1200,Tokyo University of Agriculture and Technology,Japan,22.4–27.1,28.9,26.3,13.9,52.5,28.8,
Universitat Ramon Llull,2022,601-650,,https://www.topuniversities.com/universities/universitat-ramon-llull,Spain,Barcelona,Europe,https://www.topuniversities.com/sites/default/files/RL-logo-48x48.jpg,Private,High,18.0,2.877,L,963,Universitat Ramon Llull,2022,401–500,Universitat Ramon Llull,Spain,40.9–44.0,20.0,16.6,82.0,38.1,65.9,
University of Aveiro,2022,601-650,,https://www.topuniversities.com/universities/university-aveiro,Portugal,Aveiro,Europe,https://www.topuniversities.com/sites/default/files/university-of-aveiro_592560cf2aeae70239af5045_small.jpg,Public,Very High,7.0,,M,1.400,University of Aveiro,2022,801–1000,University of Aveiro,Portugal,27.2–31.9,23.3,23.8,42.4,37.5,50.0,
University of Genoa,2022,601-650,,https://www.topuniversities.com/universities/university-genoa,Italy,Genoa,Europe,https://www.topuniversities.com/sites/default/files/university-of-genoa_592560cf2aeae70239af4b62_small.jpg,Public,Very High,17.0,2.295,L,1.336,University of Genoa,2022,401–500,University of Genoa,Italy,40.9–44.0,35.4,25.5,65.1,45.3,44.8,
University of Hohenheim,2022,601-650,,https://www.topuniversities.com/universities/university-hohenheim,Germany,Stuttgart,Europe,https://www.topuniversities.com/sites/default/files/university-of-hohenheim_592560cf2aeae70239af4fcd_small.jpg,Public,Very High,22.0,1.219,M,401,University of Hohenheim,2022,197,University of Hohenheim,Germany,54.0,34.4,31.2,97.5,48.5,51.4,=
University of Jordan,2022,601-650,,https://www.topuniversities.com/universities/university-jordan,Jordan,Amman,Asia,https://www.topuniversities.com/sites/default/files/university-of-jordan_592560cf2aeae70239af533b_small.jpg,Public,High,14.0,4.851,XL,2.190,University of Jordan,2022,801–1000,The University of Jordan,Jordan,27.2–31.9,27.9,13.0,43.8,39.5,66.9,
University of Manitoba,2022,601-650,,https://www.topuniversities.com/universities/university-manitoba,Canada,Winnipeg,North America,https://www.topuniversities.com/sites/default/files/university-of-manitoba_592560cf2aeae70239af4c0a_small.jpg,Public,Very High,10.0,4.770,XL,3.137,University of Manitoba,2022,301–350,University of Manitoba,Canada,46.1–48.0,32.0,30.7,74.4,35.6,55.9,
University of Plymouth,2022,601-650,,https://www.topuniversities.com/universities/university-plymouth,United Kingdom,Plymouth,Europe,https://www.topuniversities.com/sites/default/files/university-of-plymouth_592560cf2aeae70239af4c79_small.jpg,Public,High,15.0,2.559,L,1.056,University of Plymouth,2022,401–500,University of Plymouth,United Kingdom,40.9–44.0,20.4,20.8,79.2,35.2,72.4,
University of Pretoria,2022,601-650,,https://www.topuniversities.com/universities/university-pretoria,South Africa,Pretoria,Africa,https://www.topuniversities.com/sites/default/files/university-of-pretoria_506_small.jpg,Public,Very High,27.0,2.786,XL,1.613,University of Pretoria,2022,601–800,University of Pretoria,South Africa,32.0–37.9,25.9,29.0,35.8,42.4,54.9,
University of Sharjah,2022,601-650,,https://www.topuniversities.com/universities/university-sharjah,United Arab Emirates,,Asia,https://www.topuniversities.com/sites/default/files/university-of-sharjah_592560cf2aeae70239af5471_small.jpg,Private,High,18.0,6.988,L,678,University of Sharjah,2022,401–500,University of Sharjah,United Arab Emirates,40.9–44.0,20.2,17.4,80.2,38.8,98.8,
University of Siena,2022,601-650,,https://www.topuniversities.com/universities/university-siena,Italy,Siena,Europe,https://www.topuniversities.com/sites/default/files/university-of-siena_561_small.jpg,Public,High,16.0,1.500,L,741,University of Siena,2022,601–800,University of Siena,Italy,32.0–37.9,21.6,23.5,62.8,39.3,43.6,
Victoria University,2022,601-650,,https://www.topuniversities.com/universities/victoria-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/victoria-university-_592560cf2aeae70239af4dd6_small.jpg,Public,High,33.0,5.336,L,507,Victoria University,2022,401–500,Victoria University,Australia,40.9–44.0,27.0,28.8,63.4,43.9,87.8,
American University,2022,651-700,,https://www.topuniversities.com/universities/american-university,United States,Washington D.C.,North America,https://www.topuniversities.com/sites/default/files/american-university_17_small.jpg,Private,High,11.0,1.305,M,1.091,American University,2022,501–600,American University,United States,38.1–40.8,40.2,17.4,65.4,41.4,34.3,
Drexel University,2022,651-700,,https://www.topuniversities.com/universities/drexel-university,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/drexel-university_163_small.jpg,Private,Very High,11.0,2.526,L,1.837,Drexel University,2022,351–400,Drexel University,United States,44.1–46.0,35.2,21.9,76.2,42.5,51.7,
Edith Cowan University,2022,651-700,,https://www.topuniversities.com/universities/edith-cowan-university,Australia,Joondalup,Oceania,https://www.topuniversities.com/sites/default/files/edith-cowan-university_841_small.jpg,Public,Very High,18.0,4.815,L,863,Edith Cowan University,2022,401–500,Edith Cowan University,Australia,40.9–44.0,19.2,24.4,73.2,38.8,86.5,
Eötvös Loránd University,2022,651-700,,https://www.topuniversities.com/universities/eotvos-lorand-university,Hungary,Budapest,Europe,https://www.topuniversities.com/sites/default/files/etvs-lornd-university_366_small.jpg,Public,Very High,12.0,3.517,L,2.302,Eötvös Loránd University,2022,601–800,Eötvös Loránd University,Hungary,32.0–37.9,32.0,16.3,50.4,35.3,53.8,
Free University of Bozen-Bolzano,2022,651-700,,https://www.topuniversities.com/universities/free-university-bozen-bolzano,Italy,Bolzano,Europe,https://www.topuniversities.com/sites/default/files/free-university-of-bozen-bolzano_592560cf2aeae70239af5007_small.jpg,Public,Very High,15.0,621,S,279,Free University of Bozen-Bolzano,2022,401–500,Free University of Bozen-Bolzano,Italy,40.9–44.0,20.9,16.8,77.8,36.5,76.7,
Howard University,2022,651-700,,https://www.topuniversities.com/universities/howard-university,United States,Washington D.C.,North America,https://www.topuniversities.com/sites/default/files/howard-university_592560cf2aeae70239af4dc1_small.jpg,Private,High,8.0,531,M,1.111,Howard University,2022,251–300,Howard University,United States,48.1–50.3,43.9,16.1,95.7,34.8,35.4,
Jadavpur University,2022,651-700,,https://www.topuniversities.com/universities/jadavpur-university,India,Kolkata,Asia,https://www.topuniversities.com/sites/default/files/jadavpur-university_592560cf2aeae70239af4e11_small.jpg,Public,Very High,15.0,67,M,718,Jadavpur University,2022,801–1000,Jadavpur University,India,27.2–31.9,35.6,24.3,25.0,43.3,16.0,
Kagoshima University,2022,651-700,,https://www.topuniversities.com/universities/kagoshima-university,Japan,Kagoshima City,Asia,https://www.topuniversities.com/sites/default/files/kagoshima-university_592560cf2aeae70239af4bb6_small.jpg,Public,High,8.0,343,M,1.331,Kagoshima University,2022,1201+,Kagoshima University,Japan,10.6–22.3,21.2,11.6,15.9,41.9,24.7,
King Khalid University,2022,651-700,,https://www.topuniversities.com/universities/king-khalid-university,Saudi Arabia,Abha,Asia,https://www.topuniversities.com/sites/default/files/king-khalid-university_1174_small.jpg,Public,High,11.0,1.171,XL,3.544,King Khalid University,2022,801–1000,King Khalid University,Saudi Arabia,27.2–31.9,24.1,8.1,46.5,34.8,81.0,
National Chung Hsing University,2022,651-700,,https://www.topuniversities.com/universities/national-chung-hsing-university,Taiwan,Taichung City,Asia,https://www.topuniversities.com/sites/default/files/210804075257am94502001-48x48.jpg,Public,Very High,12.0,957,L,1.068,National Chung Hsing University,2022,1201+,National Chung Hsing University,Taiwan,10.6–22.3,22.7,21.5,17.9,51.2,29.1,
National and Kapodistrian University of Athens,2022,651-700,,https://www.topuniversities.com/universities/national-kapodistrian-university-athens,Greece,Athens,Europe,https://www.topuniversities.com/sites/default/files/national-and-kapodistrian-university-of-athens_33_small.jpg,Public,Very High,31.0,6.228,XL,2.164,National and Kapodistrian University of Athens,2022,401–500,National and Kapodistrian University of Athens,Greece,40.9–44.0,22.7,18.1,81.1,68.6,55.2,
Syracuse University,2022,651-700,,https://www.topuniversities.com/universities/syracuse-university,United States,Syracuse,North America,https://www.topuniversities.com/sites/default/files/syracuse-university_812_small.jpg,Private,Very High,14.0,3.571,L,1.374,Syracuse University,2022,351–400,Syracuse University,United States,44.1–46.0,35.4,29.7,69.7,35.8,49.8,
Tokushima University,2022,651-700,,https://www.topuniversities.com/universities/tokushima-university,Japan,Tokushima City,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokushima-_592560cf2aeae70239af4e88_small.jpg,Public,Very High,8.0,205,M,967,Tokushima University,2022,1201+,Tokushima University,Japan,10.6–22.3,23.8,18.0,15.0,62.8,24.3,
Ulster University,2022,651-700,,https://www.topuniversities.com/universities/ulster-university,United Kingdom,Coleraine,Europe,https://www.topuniversities.com/sites/default/files/ulster-university_1641_small.jpg,Public,Very High,13.0,1.845,L,1.152,Ulster University,2022,601–800,Ulster University,United Kingdom,32.0–37.9,24.5,19.6,47.5,37.1,77.7,
University of Crete,2022,651-700,,https://www.topuniversities.com/universities/university-crete,Greece,Heraklion,Europe,https://www.topuniversities.com/sites/default/files/university-of-crete_147_small.jpg,Public,High,32.0,608,L,437,University of Crete,2022,401–500,University of Crete,Greece,40.9–44.0,19.3,22.3,87.1,39.5,48.2,
University of Hull,2022,651-700,,https://www.topuniversities.com/universities/university-hull,United Kingdom,Hull,Europe,https://www.topuniversities.com/sites/default/files/university-of-hull_592560cf2aeae70239af4b93_small.jpg,Public,High,13.0,2.412,L,996,University of Hull,2022,601–800,University of Hull,United Kingdom,32.0–37.9,23.4,23.9,56.6,36.5,77.8,
University of Kentucky,2022,651-700,,https://www.topuniversities.com/universities/university-kentucky,United States,Lexington,North America,https://www.topuniversities.com/sites/default/files/university-of-kentucky_316_small.jpg,Public,Very High,12.0,1.294,L,2.239,University of Kentucky,2022,501–600,University of Kentucky,United States,38.1–40.8,36.8,27.5,56.7,39.2,38.8,
University of Oregon,2022,651-700,,https://www.topuniversities.com/universities/university-oregon,United States,Eugene,North America,https://www.topuniversities.com/sites/default/files/university-of-oregon_592560cf2aeae70239af4c58_small.jpg,Public,Very High,13.0,1.740,L,1.583,University of Oregon,2022,351–400,University of Oregon,United States,44.1–46.0,31.0,21.5,85.3,36.4,35.3,
University of Portsmouth,2022,651-700,,https://www.topuniversities.com/universities/university-portsmouth,United Kingdom,Portsmouth,Europe,https://www.topuniversities.com/sites/default/files/university-of-portsmouth_592560cf2aeae70239af4c7d_small.jpg,Public,Very High,16.0,5.827,L,1.359,University of Portsmouth,2022,501–600,University of Portsmouth,United Kingdom,38.1–40.8,20.0,17.8,70.6,35.6,90.0,
University of Salamanca,2022,651-700,,https://www.topuniversities.com/universities/university-salamanca,Spain,Salamanca,Europe,https://www.topuniversities.com/sites/default/files/university-of-salamanca_544_small.jpg,Public,High,13.0,4.197,L,2.034,University of Salamanca,2022,801–1000,University of Salamanca,Spain,27.2–31.9,23.9,19.1,34.7,37.5,55.1,
University of Trieste,2022,651-700,,https://www.topuniversities.com/universities/university-trieste,Italy,Trieste,Europe,https://www.topuniversities.com/sites/default/files/university-of-trieste_624_small.jpg,Public,High,22.0,1.287,L,736,University of Trieste,2022,501–600,University of Trieste,Italy,38.1–40.8,30.1,24.2,66.2,36.9,47.8,
Zayed University,2022,651-700,,https://www.topuniversities.com/universities/zayed-university,United Arab Emirates,"Abu Dhabi,",Asia,https://www.topuniversities.com/sites/default/files/zayed-university_592560cf2aeae70239af4f36_small.jpg,Public,High,11.0,145,M,634,Zayed University,2022,601–800,Zayed University,United Arab Emirates,32.0–37.9,17.6,16.1,64.9,35.9,74.0,
Ajman University,2022,701-750,,https://www.topuniversities.com/universities/ajman-university,United Arab Emirates,Ajman,Asia,https://www.topuniversities.com/sites/default/files/ajman-university-of-science-technology_592560cf2aeae70239af4f31_small.jpg,Private,Medium,17.0,4.089,M,303,Ajman University,2022,Reporter,Ajman University,United Arab Emirates,,,,,,,
Al Ain University,2022,701-750,,https://www.topuniversities.com/universities/al-ain-university,United Arab Emirates,"Al Ain,",Asia,https://www.topuniversities.com/sites/default/files/al-ain-university_592560e39988f300e2321680_small.jpg,Private,High,15.0,1.596,S,194,Al Ain University,2022,Reporter,Al Ain University,United Arab Emirates,,,,,,,
Charles Darwin University,2022,701-750,,https://www.topuniversities.com/universities/charles-darwin-university,Australia,Casuarina,Oceania,https://www.topuniversities.com/sites/default/files/charles-darwin-university-_592560cf2aeae70239af4dcb_small.jpg,Public,Very High,23.0,2.449,M,347,Charles Darwin University,2022,501–600,Charles Darwin University,Australia,38.1–40.8,23.0,30.0,55.9,46.8,79.4,
Gunma University,2022,701-750,,https://www.topuniversities.com/universities/gunma-university,Japan,Maebashi,Asia,https://www.topuniversities.com/sites/default/files/gunma-university_592560cf2aeae70239af4b77_small.jpg,Public,Very High,6.0,247,M,1.067,Gunma University,2022,1201+,Gunma University,Japan,10.6–22.3,25.3,13.7,18.0,39.1,21.7,
Indian Institute of Technology Bhubaneswar,2022,701-750,,https://www.topuniversities.com/universities/indian-institute-technology-bhubaneswar,India,Bhubaneswar,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bhubaneswar_5a42524bca24f32b064948ed_small.jpg,Public,Very High,13.0,1,S,161,Indian Institute of Technology Bhubaneswar,2022,1001–1200,Indian Institute of Technology Bhubaneswar,India,22.4–27.1,24.9,13.1,40.0,36.1,18.8,
Instituto Tecnológico de Buenos Aires (ITBA),2022,701-750,,https://www.topuniversities.com/universities/instituto-tecnologico-de-buenos-aires-itba,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-de-buenos-aires-itba_592560cf2aeae70239af4bae_small.jpg,Private,High,16.0,333,S,220,Instituto Tecnológico de Buenos Aires (ITBA),2022,Reporter,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,,,,,,,
Istanbul Technical University,2022,701-750,,https://www.topuniversities.com/universities/istanbul-technical-university,Turkey,Maslak-Istanbul,Asia,https://www.topuniversities.com/sites/default/files/istanbul-technical-university_296_small.jpg,Public,Very High,13.0,3.196,L,1.800,Istanbul Technical University,2022,601–800,Istanbul Technical University,Turkey,32.0–37.9,28.3,34.8,27.6,100.0,36.9,
Jouf University,2022,701-750,,https://www.topuniversities.com/universities/jouf-university,Saudi Arabia,Sakaka,Asia,https://www.topuniversities.com/sites/default/files/jouf-university_592560cf2aeae70239af5463_small.jpg,Public,Medium,10.0,614,L,2.371,Jouf University,2022,Reporter,Jouf University,Saudi Arabia,,,,,,,
Lebanese University,2022,701-750,,https://www.topuniversities.com/universities/lebanese-university,Lebanon,Beirut,Asia,https://www.topuniversities.com/sites/default/files/lebanese-university_592560cf2aeae70239af4eec_small.jpg,Public,Medium,15.0,7.754,XL,3.206,Lebanese University,2022,1001–1200,Lebanese University,Lebanon,22.4–27.1,25.9,12.5,16.0,34.9,78.2,
Middlesex University,2022,701-750,,https://www.topuniversities.com/universities/middlesex-university,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/middlesex-university_592560cf2aeae70239af4c19_small.jpg,Public,High,17.0,8.159,L,943,Middlesex University,2022,401–500,Middlesex University,United Kingdom,40.9–44.0,21.4,20.1,77.0,35.2,89.5,
Osaka Prefecture University,2022,701-750,,https://www.topuniversities.com/universities/osaka-prefecture-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-prefecture-university-_592560cf2aeae70239af4e81_small.jpg,Public,Very High,9.0,299,M,865,Osaka Prefecture University,2022,1201+,Osaka Prefecture University,Japan,10.6–22.3,21.3,15.5,14.3,45.2,22.6,
Stevens Institute of Technology,2022,701-750,,https://www.topuniversities.com/universities/stevens-institute-technology,United States,Hoboken,North America,https://www.topuniversities.com/sites/default/files/stevens-institute-of-technology_592560cf2aeae70239af4db6_small.jpg,Private,Very High,20.0,1.919,M,315,Stevens Institute of Technology,2022,601–800,Stevens Institute of Technology,United States,32.0–37.9,22.5,18.2,62.3,37.4,72.6,
Sumy State University,2022,701-750,,https://www.topuniversities.com/universities/sumy-state-university,Ukraine,Sumy,Europe,https://www.topuniversities.com/sites/default/files/sumy-state-university_592560cf2aeae70239af57c7_small.jpg,Public,High,9.0,1.677,M,893,Sumy State University,2022,501–600,Sumy State University,Ukraine,38.1–40.8,21.0,11.5,79.9,40.7,53.1,
Tokyo Metropolitan University,2022,701-750,,https://www.topuniversities.com/universities/tokyo-metropolitan-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-metropolitan-university_592560cf2aeae70239af4ce9_small.jpg,Public,Very High,11.0,562,M,822,Tokyo Metropolitan University,2022,601–800,Tokyo Metropolitan University,Japan,32.0–37.9,24.4,14.5,59.4,39.3,27.8,
University of Bradford,2022,701-750,,https://www.topuniversities.com/universities/university-bradford,United Kingdom,Bradford,Europe,https://www.topuniversities.com/sites/default/files/university-of-bradford_592560cf2aeae70239af4ac5_small.jpg,Public,Very High,17.0,2.270,M,500,University of Bradford,2022,601–800,University of Bradford,United Kingdom,32.0–37.9,21.4,19.6,49.3,37.9,79.8,
University of Haifa,2022,701-750,,https://www.topuniversities.com/universities/university-haifa,Israel,Haifa,Asia,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-2021-05-14T141544.092-48x48.jpg,Public,Very High,8.0,887,L,1.978,University of Haifa,2022,601–800,University of Haifa,Israel,32.0–37.9,24.0,22.7,64.5,35.7,39.7,
University of Houston,2022,701-750,,https://www.topuniversities.com/universities/university-houston,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/university-of-houston_270_small.jpg,Public,Very High,22.0,3.049,XL,1.702,University of Houston,2022,601–800,University of Houston,United States,32.0–37.9,33.1,25.8,50.0,36.6,43.5,
University of Huddersfield,2022,701-750,,https://www.topuniversities.com/universities/university-huddersfield,United Kingdom,Huddersfield,Europe,https://www.topuniversities.com/sites/default/files/university-of-huddersfield_592560cf2aeae70239af4cac_small.jpg,Public,Very High,18.0,3.827,L,816,University of Huddersfield,2022,601–800,University of Huddersfield,United Kingdom,32.0–37.9,24.3,23.4,49.9,37.5,81.3,
University of Modena and Reggio Emilia,2022,701-750,,https://www.topuniversities.com/universities/university-modena-reggio-emilia,Italy,Modena,Europe,https://www.topuniversities.com/sites/default/files/university-of-modena-and-reggio-emilia_411_small.jpg,Public,High,31.0,1.066,L,684,University of Modena and Reggio Emilia,2022,401–500,University of Modena and Reggio Emilia,Italy,40.9–44.0,30.8,22.8,72.4,49.0,38.9,
University of Southern Queensland,2022,701-750,,https://www.topuniversities.com/universities/university-southern-queensland,Australia,Toowoomba,Oceania,https://www.topuniversities.com/sites/default/files/university-of-southern-queensland-_592560cf2aeae70239af4dd1_small.jpg,Public,Very High,23.0,2.111,M,523,University of Southern Queensland,2022,401–500,University of Southern Queensland,Australia,40.9–44.0,21.7,23.8,74.2,38.9,79.3,
University of Westminster,2022,701-750,,https://www.topuniversities.com/universities/university-westminster,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/university-of-westminster_592560cf2aeae70239af4d26_small.jpg,Public,High,20.0,8.591,L,861,University of Westminster,2022,801–1000,University of Westminster,United Kingdom,27.2–31.9,17.9,17.9,38.0,35.4,83.1,
University of Windsor,2022,701-750,,https://www.topuniversities.com/universities/university-windsor,Canada,Windsor,North America,https://www.topuniversities.com/sites/default/files/university-of-windsor_592560cf2aeae70239af5162_small.jpg,Public,High,41.0,2.414,L,323,University of Windsor,2022,601–800,University of Windsor,Canada,32.0–37.9,34.2,28.1,33.2,48.5,87.3,
University of the Basque Country,2022,701-750,,https://www.topuniversities.com/universities/university-basque-country,Spain,Leioa,Europe,https://www.topuniversities.com/sites/default/files/universidad-del-pais-vasco_592560cf2aeae70239af506c_small.jpg,Public,Very High,11.0,2.029,XL,3.500,University of the Basque Country,2022,801–1000,University of the Basque Country,Spain,27.2–31.9,20.7,20.2,50.2,37.8,44.6,
Université Côte d'Azur,2022,701-750,,https://www.topuniversities.com/universities/universite-cote-dazur,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-cte-dazur_5c056024094c9000617768e0_small.jpg,Public,High,23.0,5.715,XL,1.343,Université Côte d'Azur,2022,401–500,Université Côte d'Azur,France,40.9–44.0,26.3,19.9,72.1,35.6,76.2,
Bournemouth University,2022,751-800,,https://www.topuniversities.com/universities/bournemouth-university,United Kingdom,Poole,Europe,https://www.topuniversities.com/sites/default/files/bournemouth-university_592560cf2aeae70239af4ac4_small.jpg,Public,High,20.0,3.075,L,773,Bournemouth University,2022,351–400,Bournemouth University,United Kingdom,44.1–46.0,33.6,21.3,74.6,35.1,82.1,
Chonnam National University,2022,751-800,,https://www.topuniversities.com/universities/chonnam-national-university,South Korea,Gwangju,Asia,https://www.topuniversities.com/sites/default/files/chonnam-national-university_125_small.jpg,Public,Very High,9.0,1.609,L,2.342,Chonnam National University,2022,1001–1200,Chonnam National University,South Korea,22.4–27.1,23.0,21.4,28.2,41.2,30.7,
Chungnam National University,2022,751-800,,https://www.topuniversities.com/universities/chungnam-national-university,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/chungnam-national-university_592560cf2aeae70239af4b02_small.jpg,Public,Very High,10.0,1.837,L,1.977,Chungnam National University,2022,1001–1200,Chungnam National University,South Korea,22.4–27.1,24.6,23.6,17.5,45.3,23.5,
Clarkson University,2022,751-800,,https://www.topuniversities.com/universities/clarkson-university,United States,Potsdam,North America,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_small.jpg,Private,Very High,14.0,384,S,291,Clarkson University,2022,801–1000,Clarkson University,United States,27.2–31.9,27.6,17.3,43.0,39.6,50.8,
Georgia State University,2022,751-800,,https://www.topuniversities.com/universities/georgia-state-university,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_small.jpg,Public,Very High,24.0,1.756,XL,1.281,Georgia State University,2022,401–500,Georgia State University,United States,40.9–44.0,32.9,25.9,65.8,36.0,44.5,
Instituto Politécnico Nacional (IPN),2022,751-800,,https://www.topuniversities.com/universities/instituto-politecnico-nacional-ipn,Mexico,Ciudad de México,Latin America,https://www.topuniversities.com/sites/default/files/instituto-politcnico-nacional-ipn_592560cf2aeae70239af5483_small.jpg,Public,Very High,16.0,463,XL,8.262,Instituto Politécnico Nacional (IPN),2022,1201+,Instituto Politécnico Nacional (IPN),Mexico,10.6–22.3,18.7,9.7,13.6,40.7,25.0,
Jamia Millia Islamia,2022,751-800,,https://www.topuniversities.com/universities/jamia-millia-islamia,India,,Asia,https://www.topuniversities.com/sites/default/files/jamia-millia-islamia-new-delhi_592560e19988f300e2320f1d_small.jpg,Public,Very High,9.0,259,M,935,Jamia Millia Islamia,2022,601–800,Jamia Millia Islamia,India,32.0–37.9,31.9,11.9,63.5,36.6,25.8,
Keele University,2022,751-800,,https://www.topuniversities.com/universities/keele-university,United Kingdom,Keele,Europe,https://www.topuniversities.com/sites/default/files/keele-university-_592560cf2aeae70239af50e5_small.jpg,Public,Very High,13.0,1.392,M,707,Keele University,2022,501–600,Keele University,United Kingdom,38.1–40.8,21.8,24.2,64.2,35.7,71.5,
Maynooth University,2022,751-800,,https://www.topuniversities.com/universities/maynooth-university,Ireland,Maynooth,Europe,https://www.topuniversities.com/sites/default/files/maynooth-university_766_small.jpg,Public,Very High,16.0,1.335,M,686,Maynooth University,2022,501–600,Maynooth University,Ireland,38.1–40.8,22.2,27.6,61.5,37.7,79.0,
Memorial University of Newfoundland,2022,751-800,,https://www.topuniversities.com/universities/memorial-university-newfoundland,Canada,St. John's,North America,https://www.topuniversities.com/sites/default/files/memorial-university-of-newfoundland_1760_small.jpg,Public,High,15.0,3.400,L,1.089,Memorial University of Newfoundland,2022,601–800,Memorial University of Newfoundland,Canada,32.0–37.9,23.0,20.6,46.4,59.6,80.7,
Princess Nourah bint Abdulrahman University,2022,751-800,,https://www.topuniversities.com/universities/princess-nourah-bint-abdulrahman-university,Saudi Arabia,,Asia,https://www.topuniversities.com/sites/default/files/princess-nourah-bint-abdulrahman-university_592560e39988f300e232144f_small.jpg,Public,Medium,12.0,4.408,L,2.324,Princess Nourah bint Abdulrahman University,2022,Reporter,Princess Nourah bint Abdulrahman University,Saudi Arabia,,,,,,,
Riga Technical University,2022,751-800,,https://www.topuniversities.com/universities/riga-technical-university,Latvia,Riga,Europe,https://www.topuniversities.com/sites/default/files/riga-technical-university_592560cf2aeae70239af578f_small.jpg,Public,Very High,12.0,2.197,M,891,Riga Technical University,2022,1001–1200,Riga Technical University,Latvia,22.4–27.1,22.4,20.1,15.8,62.6,57.3,
Ritsumeikan University,2022,751-800,,https://www.topuniversities.com/universities/ritsumeikan-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/ritsumeikan-university_592560cf2aeae70239af4c92_small.jpg,Private,High,17.0,2.697,XL,2.095,Ritsumeikan University,2022,1201+,Ritsumeikan University,Japan,10.6–22.3,19.3,13.1,17.1,37.2,37.7,
Southern Cross University,2022,751-800,,https://www.topuniversities.com/universities/southern-cross-university,Australia,Lismore,Oceania,https://www.topuniversities.com/sites/default/files/southern-cross-university-_592560cf2aeae70239af4dcf_small.jpg,Public,Very High,22.0,3.034,M,446,Southern Cross University,2022,601–800,Southern Cross University,Australia,32.0–37.9,19.7,23.0,57.0,44.4,71.4,
Temple University,2022,751-800,,https://www.topuniversities.com/universities/temple-university,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/temple-university_592560cf2aeae70239af4cdd_small.jpg,Public,Very High,12.0,2.097,XL,2.767,Temple University,2022,301–350,Temple University,United States,46.1–48.0,38.4,24.6,79.4,34.8,38.9,
Universiti Tenaga Nasional (UNITEN),2022,751-800,,https://www.topuniversities.com/universities/universiti-tenaga-nasional-uniten,Malaysia,Kajang,Asia,https://www.topuniversities.com/sites/default/files/universiti-tenaga-nasional-uniten_592560cf2aeae70239af4d97_small.jpg,Private,Very High,10.0,652,S,469,Universiti Tenaga Nasional (UNITEN),2022,801–1000,Universiti Tenaga Nasional (UNITEN),Malaysia,27.2–31.9,18.9,14.9,46.9,91.0,48.5,
University of Brescia,2022,751-800,,https://www.topuniversities.com/universities/university-brescia,Italy,Brescia,Europe,https://www.topuniversities.com/sites/default/files/university-of-brescia_592560cf2aeae70239af5666_small.jpg,Public,Very High,20.0,1.003,M,523,University of Brescia,2022,351–400,University of Brescia,Italy,44.1–46.0,24.6,18.1,93.9,39.6,44.7,
University of Central Florida,2022,751-800,,https://www.topuniversities.com/universities/university-central-florida,United States,Orlando,North America,https://www.topuniversities.com/sites/default/files/university-of-central-florida_209_small.jpg,Public,Very High,25.0,2.562,XL,2.146,University of Central Florida,2022,601–800,University of Central Florida,United States,32.0–37.9,27.2,28.6,56.6,45.5,34.5,
University of Denver,2022,751-800,,https://www.topuniversities.com/universities/university-denver1,United States,Denver,North America,https://www.topuniversities.com/sites/default/files/university-of-denver_157_small.jpg,Private,Very High,10.0,599,M,1.000,University of Denver,2022,401–500,University of Denver,United States,40.9–44.0,39.3,23.8,72.2,35.9,27.9,
