university,year_QS,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,University_Standard,year_THE,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
Queen Mary University of London,2022,117,56.7,https://www.topuniversities.com/universities/queen-mary-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,Public,Very High,9.0,"8,625",L,"2,119",Queen Mary University of London,2022,117,Queen Mary University of London,United Kingdom,60.4,33.7,41.6,98.1,42.7,97.1,=
Nagoya University,2022,118,56.2,https://www.topuniversities.com/universities/nagoya-university,Japan,Nagoya,Asia,https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg,Public,Very High,6.0,"1,879",L,"2,512",Nagoya University,2022,351–400,Nagoya University,Japan,44.1–46.0,44.3,48.0,41.4,97.9,35.4,
University of Bern,2022,119,56.1,https://www.topuniversities.com/universities/university-bern,Switzerland,Bern,Europe,https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg,Public,Very High,8.0,"1,776",M,"1,212",University of Bern,2022,101,University of Bern,Switzerland,62.2,45.0,44.9,88.2,90.6,87.3,=
Chalmers University of Technology,2022,121,55.9,https://www.topuniversities.com/universities/chalmers-university-technology,Sweden,Gothenburg,Europe,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg,Private,Very High,8.0,"2,502",M,"2,500",Chalmers University of Technology,2022,251–300,Chalmers University of Technology,Sweden,48.1–50.3,31.8,42.8,63.3,65.5,77.5,
Wageningen University & Research,2022,123,55.8,https://www.topuniversities.com/universities/wageningen-university-research,Netherlands,Wageningen,Europe,https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg,Public,Very High,5.0,"4,131",L,"2,767",Wageningen University & Research,2022,53,Wageningen University & Research,Netherlands,70.1,50.1,58.1,95.6,100.0,86.4,
Uppsala University,2022,124,55.4,https://www.topuniversities.com/universities/uppsala-university,Sweden,Uppsala,Europe,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg,Public,Very High,10.0,"8,401",L,"2,843",Uppsala University,2022,131,Uppsala University,Sweden,59.0,38.5,55.8,78.4,71.8,71.4,
Eindhoven University of Technology,2022,125,55.3,https://www.topuniversities.com/universities/eindhoven-university-technology,Netherlands,Eindhoven,Europe,https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg,Public,Very High,9.0,"1,872",M,"1,145",Eindhoven University of Technology,2022,201–250,Eindhoven University of Technology,Netherlands,50.4–53.9,44.4,48.2,56.1,99.9,83.8,
University of Alberta,2022,126,55.2,https://www.topuniversities.com/universities/university-alberta,Canada,Edmonton,North America,https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg,Public,Very High,9.0,"9,689",XL,"3,645",University of Alberta,2022,125,University of Alberta,Canada,59.6,48.2,50.7,71.9,64.7,88.9,
University of Groningen,2022,128,54.8,https://www.topuniversities.com/universities/university-groningen,Netherlands,Groningen,Europe,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg,Public,Very High,8.0,"9,397",XL,"3,724",University of Groningen,2022,80,University of Groningen,Netherlands,65.2,42.5,55.3,90.6,81.1,88.7,=
École Normale Supérieure de Lyon,2022,130,54.6,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,France,Lyon,Europe,https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg,Public,Very High,5.0,233,S,387,École Normale Supérieure de Lyon,2022,301–350,École Normale Supérieure de Lyon,France,46.1–48.0,38.3,45.8,52.6,64.3,64.7,
Lancaster University,2022,132,54.0,https://www.topuniversities.com/universities/lancaster-university,United Kingdom,Lancaster,Europe,https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,Public,Very High,10.0,"5,557",L,"1,440",Lancaster University,2022,122,Lancaster University,United Kingdom,60.0,38.6,40.9,93.9,36.4,94.6,=
University of Technology Sydney,2022,133,53.9,https://www.topuniversities.com/universities/university-technology-sydney,Australia,Haymarket,Oceania,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg,Public,Very High,16.0,"8,653",L,"2,183",University of Technology Sydney,2022,143,University of Technology Sydney,Australia,57.8,36.5,43.7,83.7,55.0,97.2,=
Newcastle University,2022,134,53.8,https://www.topuniversities.com/universities/newcastle-university,United Kingdom,Newcastle upon Tyne,Europe,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,Public,Very High,10.0,"8,100",L,"2,766",Newcastle University,2022,146,Newcastle University,United Kingdom,57.6,34.1,39.8,92.8,42.3,87.5,=
Kyushu University,2022,137,53.3,https://www.topuniversities.com/universities/kyushu-university,Japan,Fukuoka City,Asia,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg,Public,Very High,7.0,"2,125",L,"2,761",Kyushu University,2022,501–600,Kyushu University,Japan,38.1–40.8,43.2,37.5,34.0,77.4,42.4,
