Rank,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE,the_rank_2026,arwu_rank_2025,the_score,arwu_score,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,Total_Students,International_Students_Percentage,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,university_type,university_age,Overall_Score_Normalized,Performance_Category,Rank_Category,the_score_Normalized,arwu_score_Normalized
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100,4,100,2,100,16,100,7,100,63,91.6,153,92.3,130,94.1,98,100,7,93.8,33,100,2,3,96.4,100,91.5,99.8,97.2,80.2,74.2,1861,11858,34,100,1,1,2,165,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,165,1,Excellent,Top 10,0.988142292,1
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100,9,99.3,42,95,69,100,74,100,35,100,22,97.5,28,95.9,68,98.3,7,99.4,8,18,86.1,65.1,83.4,92.1,87.4,80.4,55.2,1907,19000,61,15,0,0,5,119,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,119,0.986455982,Excellent,Top 10,0.78458498,0.475975976
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100,5,100,3,100,17,99.7,24,94.2,188,73.5,261,76.1,230,96.5,49,100,2,95.4,19,98.9,5,2,95.5,76.5,95.2,99.6,99.4,77.6,88.4,1885,17249,24,85,22,1,3.3,141,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,141,0.9751693,Excellent,Top 10,0.970355731,0.647147147
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100,2,100,4,100,9,91,98,98.8,132,98.6,80,98.7,67,100,1,100,3,77.9,198,97.9,1,6,97,72.4,97.8,98.4,95.8,78.8,66.4,1096,24000,41,72,0,1,3.7,930,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,930,0.952595937,Excellent,Top 10,1,0.585585586
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100,1,100,1,98.3,50,100,1,79.1,300,81.4,217,60.6,335,99.4,8,100,1,77.8,201,97.7,5,1,95.5,100,95.4,99.2,97.4,79.2,77.4,1636,21000,25,162,4,1,3.7,390,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,390,0.948081264,Excellent,Top 10,0.970355731,1
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100,3,100,5,100,23,88.6,107,100,80,93.1,144,93.6,120,99.2,12,100,5,78.4,194,97.2,3,4,96.2,83.2,96.4,98.8,96.2,78.4,68.4,1209,24500,38,121,1,1,4.3,817,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,817,0.936794582,Excellent,Top 10,0.984189723,0.747747748
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18,96.3,42,71.7,214,98.8,40,100,28,99.3,58,73.9,241,95.8,64,95,76,99.6,2,96.7,7,22,87.4,55.8,85.4,88.4,85.2,77.4,99.8,1855,24500,41,32,1,1,12,171,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,171,0.925507901,Excellent,Top 10,0.81027668,0.336336336
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14,98.2,32,71.5,216,95.9,64,100,37,96.9,101,72.1,253,92.4,140,100,9,90,63,95.9,17,18,84.6,65.1,80.8,85.4,80.2,72.4,100,1905,40000,36,3,0,0,12.5,121,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,121,0.90744921,Excellent,Top 10,0.754940711,0.475975976
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15,99.4,18,94.8,77,80.9,151,99.6,108,100,27,100,17,99.9,2,89.3,111,98.5,5,95.8,9,18,86,65.1,85.4,88.8,80.4,76.8,72.4,1826,39000,56,14,0,0,9,200,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,200,0.905191874,Excellent,Top 10,0.782608696,0.475975976
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33,99.2,23,100,5,100,3,100,65,90.7,161,91.4,136,61.8,665,49.1,352,79.2,185,94.3,7,9,87.4,65.8,85.4,99.2,97.4,72.4,60,1891,2240,32,46,6,1,8.7,135,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,135,0.871331828,Excellent,Top 10,0.81027668,0.486486486
11,17,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,27,82.5,97,85.3,131,96.6,60,100,31,100,38,100,24,82.3,305,99.8,15,84.8,112,94.2,35,18,76.8,65.1,72.4,72.8,65.4,68.4,92.2,1911,30000,34,0,0,0,23,115,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,115,0.869074492,Excellent,Top 50,0.600790514,0.475975976
12,15,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,42,91.4,67,83.9,148,94.6,76,100,43,93.1,145,93.6,121,86.9,217,87.7,121,87.2,88,93.7,46,18,71.2,65.1,66.4,64.2,60.8,62.4,96.8,1991,33000,34,0,0,0,29,35,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,35,0.85778781,Excellent,Top 50,0.490118577,0.475975976
13,21,University of Chicago,United States of America,Americas,L,FC,VH,Private not for Profit,99.8,17,99.3,21,97.3,62,78.1,164,86.1,254,92.8,148,69.1,275,87.7,207,99.8,16,73.3,269,93,15,10,83.8,64.2,82.4,97.2,95.8,72.8,60.2,1890,17002,30,100,1,1,12.7,136,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,136,0.841986456,Excellent,Top 50,0.739130435,0.462462462
14,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,12,99.6,17,96.2,66,99.2,35,59.9,391,37.3,523,27.9,640,83.2,290,97,58,70.6,308,92.6,13,18,85.2,65.1,84.4,90.4,86.4,76.4,62.4,1898,47000,12,6,0,0,13.5,128,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,128,0.832957111,Excellent,Top 50,0.766798419,0.475975976
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30,98.7,28,99.9,29,72,199,96.9,151,76.3,249,78.6,221,89.4,182,100,4,95,24,92.5,14,18,84.2,65.1,82.2,92.4,88.4,72.4,60.4,1740,22000,21,8,0,0,13,286,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,286,0.830699774,Excellent,Top 50,0.747035573,0.475975976
16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,25,98.8,27,64.3,276,98,48,57.6,401,75.7,251,56.4,363,93,126,99.3,24,76.8,218,91.6,18,18,83.2,65.1,80.8,88.4,86.4,70.4,60.8,1865,24000,27,45,0,0,15.5,161,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,161,0.810383747,Excellent,Top 50,0.727272727,0.475975976
17,20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16,99.7,15,97.1,63,99.6,26,39.5,502,31.9,570,23.9,707,80.4,347,97,60,68.7,339,91.2,12,18,86.2,65.1,85.4,89.4,84.4,78.4,62.8,1911,53000,10,8,0,0,16,115,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,115,0.801354402,Excellent,Top 50,0.786561265,0.475975976
17,12,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100,6,100,6,29.4,643,97.2,53,95.6,172,70.6,273,52.6,392,96.7,47,99.8,17,98.8,3,91.2,9,5,86,75.2,83.4,97.2,97.4,72.4,72.4,1868,43000,14,107,0,1,14,158,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,158,0.801354402,Excellent,Top 50,0.782608696,0.627627628
19,13,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,21,97.4,35,20.5,801,94.8,72,96.7,156,100,37,74.4,239,96.9,40,98.3,39,98.2,9,90.8,16,33,83.4,48.8,80.8,84.2,79.4,70.4,68.8,1853,52000,44,8,0,1,22.7,173,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,173,0.792325056,Excellent,Top 50,0.731225296,0.231231231
20,19,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,43,93.5,59,29.9,632,96.9,58,100,69,99.9,41,99.9,30,97.6,25,98.7,32,97,12,90.7,67,18,67.4,65.1,61.4,59.8,54.4,55.4,71.8,1949,65000,46,4,0,0,43,77,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,77,0.79006772,Excellent,Top 50,0.415019763,0.475975976
21,23,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100,9,100,7,100,12,64.8,250,86.7,247,72.7,262,75.4,232,92.9,131,99.8,18,82.4,144,90.4,9,14,86,60.8,83.4,95.8,96.2,74.4,64.2,1701,14500,21,65,1,1,13,325,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,325,0.783295711,Excellent,Top 50,0.782608696,0.411411411
22,26,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,55,88,79,90,103,93.1,87,100,12,100,17,100,11,83.6,281,47.3,371,85.3,107,90.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.778781038,Excellent,Top 50,0.624505929,0.475975976
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72,98.9,63,95.9,63,57.3,293,87.8,83,90.2,34,45,76.4,44.8,72.4,72.8,66.4,68.4,77.8,1868,50000,29,4,0,1,38.7,158,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,158,0.778781038,Excellent,Top 50,0.592885375,0.171171171
24,32,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,51,79.2,108,100,14,85.8,118,70.8,333,94.2,137,94.6,113,97.4,29,84.1,141,93,35,89.7,21,18,80.8,65.1,80.4,88.4,87.8,72.4,65.8,1876,26000,28,38,0,0,22.5,150,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,150,0.767494357,Excellent,Top 50,0.679841897,0.475975976
25,22,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100,10,99.8,13,67.3,253,100,5,12.7,801,70,280,52.2,397,82.6,300,98.9,28,76,222,89.4,3,7,96.2,70.8,92.4,99.2,97.8,74.8,64.4,1746,8374,25,64,1,1,8.3,280,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,280,0.760722348,Excellent,Top 50,0.984189723,0.561561562
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29,94.2,53,15.7,801,94.3,78,99.9,101,100,18,100,12,95.5,71,95.8,70,97.6,11,89.4,43,18,71.6,65.1,68.4,67.8,61.4,63.4,70.8,1850,73000,45,5,0,0,34,176,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,176,0.760722348,Excellent,Top 50,0.498023715,0.475975976
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35,93.5,58,67.3,250,72.4,194,88.6,232,93.5,138,69.6,272,92.9,130,98.9,27,96.3,15,88.9,44,18,71.4,65.1,68.4,67.4,62.4,62.4,71.8,1821,40000,27,14,0,0,38,205,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,205,0.749435666,Excellent,Top 50,0.494071146,0.475975976
28,24,PSL University,France,Europe,L,CO,VH,Public,82.6,86,98.5,31,98.6,48,85.1,123,69.6,336,75.5,252,77.9,222,99.7,3,97.5,51,87.8,83,88.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.742663657,Excellent,Top 50,0.624505929,0.475975976
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91,98,78,97,37,99.4,22,100,1,88.5,22,24,80.4,53.8,79.4,87.8,85.4,70.4,74.4,1827,97000,27,10,0,1,25,199,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,199,0.740406321,Excellent,Top 50,0.671936759,0.306306306
30,39,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,50,95.1,49,84.8,137,92.8,89,88.5,234,46.4,433,51.4,402,75.5,431,73.3,193,83.1,134,88.4,44,18,71.4,65.1,68.4,68.8,63.4,65.4,61.8,1905,45000,10,0,0,0,37,121,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,121,0.738148984,Excellent,Top 50,0.494071146,0.475975976
31,40,King's College London (KCL),United Kingdom,Europe,XL,FC,VH,Public,96.2,44,91.8,65,74.4,202,70.2,215,99.5,115,99,70,99,61,98.4,19,76.4,174,96.5,14,88.3,44,18,71.4,65.1,67.8,66.4,61.4,63.4,73.8,1829,33000,50,12,0,0,37.5,197,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,197,0.735891648,Excellent,Top 50,0.494071146,0.475975976
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37,82.6,96,40.9,495,91.7,93,100,49,99,68,99.1,59,93.1,123,67.1,232,91.8,48,87.4,78,18,66.4,65.1,59.4,57.8,52.4,54.4,72.4,1946,24000,40,6,0,0,54,80,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,80,0.715575621,Excellent,Top 50,0.395256917,0.475975976
32,36,The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,94.2,48,67.3,157,75.9,191,95,71,100,50,93.3,143,90.3,147,68.2,563,91.2,94,84.1,123,87.4,47,18,70.8,65.1,66.4,65.2,59.4,60.4,90.4,1963,20000,38,0,0,0,41.5,63,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,63,0.715575621,Excellent,Top 50,0.482213439,0.475975976
34,27,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24,98.2,33,77.3,179,54.3,338,99.7,105,99.9,42,99.9,31,99.5,5,69.7,213,98.3,7,87.2,30,18,78.4,65.1,72.4,74.2,66.4,62.4,74.8,1583,38000,44,20,0,0,28.5,443,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,443,0.711060948,Excellent,Top 50,0.632411067,0.475975976
35,34,The University of Manchester,United Kingdom,Europe,XL,FC,VH,Public,98.6,31,98.8,26,58.2,310,56.8,308,95.3,176,99.5,56,99.5,45,99.4,7,91.9,90,98.2,9,86.4,63,18,68.4,65.1,61.4,60.8,55.4,56.4,72.8,1824,40000,44,25,0,0,49,202,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,202,0.693002257,Excellent,Top 50,0.434782609,0.475975976
36,37,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45,87.5,81,11.3,801,93,88,100,61,100,24,100,15,94.7,87,86.7,128,91.7,49,85.8,88,18,64.2,65.1,57.4,55.8,50.4,52.4,71.4,1958,86000,50,0,0,0,62.5,68,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,68,0.679458239,Excellent,Top 50,0.351778656,0.475975976
36,32,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100,7,99.9,10,92.4,94,69.9,217,15.9,777,44,457,49.2,422,88.8,193,100,10,92.3,44,85.8,26,18,79.8,65.1,79.4,83.8,82.4,72.4,60.4,1877,28000,12,11,3,0,27,149,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,149,0.679458239,Excellent,Top 50,0.660079051,0.475975976
38,34,Columbia University,United States of America,Americas,XL,FC,VH,Private not for Profit,99.9,13,99.9,11,100,19,44.5,418,48.5,445,98.1,88,72.9,250,98.4,18,100,8,77.9,198,85.6,20,8,81.8,66.8,78.4,90.4,90.2,72.4,72.4,1754,31000,47,101,0,1,14,272,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,272,0.674943567,Excellent,Top 50,0.699604743,0.501501502
38,31,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,20,99.1,24,85.6,130,81.2,150,13.2,801,27.5,622,33.5,571,77.6,391,100,6,90.8,57,85.6,62,18,68.6,65.1,62.4,61.8,56.4,59.4,60.8,1946,28000,4,0,0,0,46.5,80,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,80,0.674943567,Excellent,Top 50,0.438735178,0.475975976
40,38,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23,96.5,41,34.7,568,70.9,210,98.5,135,79.8,222,81.7,191,96.6,48,84.9,135,98.5,5,85.5,41,18,73.4,65.1,70.4,70.8,64.4,66.4,73.8,1908,68000,30,7,0,0,41.5,118,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,118,0.67268623,Excellent,Top 50,0.533596838,0.475975976
41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185,99.8,14,94.8,76,97.3,52,99.9,99,99.2,61,99.2,50,93,125,99.1,25,77.9,198,85.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.670428894,Excellent,Top 50,0.624505929,0.475975976
42,50,Northwestern University,United States of America,Americas,L,FC,VH,Private not for Profit,92.2,59,89.4,74,99.1,44,71.2,205,57.7,399,67.2,295,50,414,86.5,229,99.5,20,74.4,250,85.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.663656885,Excellent,Top 50,0.624505929,0.475975976
42,40,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.3,46,79.5,105,26.5,705,94.2,79,100,60,100,28,100,18,97,36,66.6,233,92.5,41,85.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.663656885,Excellent,Top 50,0.624505929,0.475975976
44,47,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,M,FO,VH,Public,89.4,69,69.7,149,67.5,247,100,12,100,23,99.3,59,99,60,49.5,801,76.6,173,79.7,175,84.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.656884876,Excellent,Top 50,0.624505929,0.475975976
45,44,University of Michigan-Ann Arbor,United States of America,Americas,XL,FC,VH,Public,99.3,26,98.5,30,85.7,127,54.5,334,73.9,320,56.1,372,60.3,339,96,59,99.1,26,77.2,210,84.7,22,21,80.4,56.4,78.8,86.8,87.2,68.4,64.4,1817,47000,17,26,1,1,22,209,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,209,0.65462754,Excellent,Top 50,0.671936759,0.345345345
46,42,"University of California, Los Angeles (UCLA)",United States of America,Americas,XL,FC,VH,Public,100,8,100,8,43.6,456,84.3,127,50.8,437,31.8,571,37.7,521,93.5,117,98,46,78,195,84.4,22,18,80.4,65.1,79.4,84.8,85.4,68.4,62.8,1919,46000,14,17,0,0,31,107,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,107,0.64785553,Excellent,Top 50,0.671936759,0.475975976
47,49,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76,90.4,71,49.1,392,84.6,126,100,68,94.8,128,95.1,109,93.8,102,66,235,96.3,15,84.3,51,18,70.4,65.1,66.4,65.2,60.4,62.4,84.4,1842,26000,38,0,0,0,49,184,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,184,0.645598194,Excellent,Top 50,0.4743083,0.475975976
47,45,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,Public,92.7,56,93.8,56,64.5,275,100,13,40.9,490,19.1,741,14.4,801,77.7,389,88.2,119,82.5,141,84.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.645598194,Excellent,Top 50,0.624505929,0.475975976
49,47,Zhejiang University,China (Mainland),Asia,XL,FC,VH,Public,87,75,97.2,36,53,355,100,11,94.1,189,23.5,683,17.7,801,94,100,74.4,185,63,441,84,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.638826185,Excellent,Top 50,0.624505929,0.475975976
50,56,Yonsei University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,91.6,64,97.8,34,84.3,142,67.9,231,30.5,582,74.3,258,76.7,227,78,382,94.4,78,87.7,86,82.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.613995485,Excellent,Top 50,0.624505929,0.475975976
51,54,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,87.3,73,89.4,75,36.7,546,83.2,135,90.7,219,95.7,118,96,100,95.3,74,63.1,248,97,12,82.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.60496614,Excellent,Top 100,0.624505929,0.475975976
52,58,Carnegie Mellon University,United States of America,Americas,L,FC,VH,Private not for Profit,80.1,98,94.4,52,51.1,370,98.6,43,52.4,426,98.7,77,73.4,245,79.2,364,79.9,161,66.2,375,82.3,27,18,79.4,65.1,80.4,82.4,86.8,67.4,62.4,1900,15818,50,21,1,0,46,126,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,126,0.600451467,Excellent,Top 100,0.652173913,0.475975976
53,55,The University of Amsterdam,Netherlands,Europe,XL,FC,VH,Public,92.5,57,72.6,135,27.5,688,87.2,113,98.8,133,95.8,117,71.3,259,95.1,82,90.3,104,64,422,81.5,61,18,68.8,65.1,64.4,63.8,58.4,60.4,84.4,1632,39000,31,16,0,0,58,394,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,394,0.582392777,Excellent,Top 100,0.442687747,0.475975976
54,57,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,L,CO,VH,Public,81.2,93,47.5,275,77.1,182,98.7,41,100,34,98.8,76,97.9,81,82.8,296,74.1,187,80.8,160,81.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.575620767,Excellent,Top 100,0.624505929,0.475975976
55,43,New York University (NYU),United States of America,Americas,XL,FC,VH,Private not for Profit,98.6,32,99.9,12,89,109,31.7,568,33.1,553,99.7,52,99.7,42,93.5,115,99.5,19,91.3,52,81.1,27,18,79.4,65.1,78.4,82.4,84.4,68.4,78.4,1831,27000,47,12,0,0,32.5,195,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,195,0.573363431,Excellent,Top 100,0.652173913,0.475975976
56,50,London School of Economics and Political Science (LSE),United Kingdom,Europe,L,FO,VH,Public,80.6,96,99.4,20,47.2,417,64,256,100,41,100,14,100,9,76.4,417,99.9,14,92.7,39,80.5,52,18,70.2,65.1,67.4,61.8,55.4,57.4,75.8,1895,12000,72,18,0,0,54,131,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,131,0.559819413,Excellent,Top 100,0.470355731,0.475975976
57,50,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,19,99.3,22,94.3,80,50.9,369,22.9,675,29.2,601,35.1,551,85.5,247,85.9,132,84,124,80.2,38,18,74.8,65.1,73.4,77.8,76.4,66.4,59.4,1897,23000,13,11,3,0,44.5,129,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,129,0.553047404,Excellent,Top 100,0.561264822,0.475975976
58,59,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,Public,97.1,41,95.5,47,41,493,62.3,271,80.3,296,53.2,387,57.6,354,95.5,72,76.8,172,87,89,80.1,32,42,77.4,45.8,73.8,75.4,70.4,68.4,72.8,1472,53000,13,13,0,1,42.7,554,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,554,0.550790068,Excellent,Top 100,0.612648221,0.186186186
58,60,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,Public,92.3,58,96.7,40,74.2,205,47.4,398,69.2,338,86.8,188,87.3,159,92.9,127,77.7,167,84.7,115,80.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.550790068,Excellent,Top 100,0.624505929,0.475975976
60,63,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93,53,63.5,169,9.6,801,94.7,75,95.8,166,65.1,307,48.5,428,99.5,4,83.5,143,94.7,25,79.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.541760722,Good,Top 100,0.624505929,0.475975976
61,67,Korea University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,89.2,70,95.4,48,77,183,68.2,229,24.5,656,64,311,67.5,287,67.7,573,93.6,83,85.9,101,79.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.539503386,Good,Top 100,0.624505929,0.475975976
62,61,Duke University,United States of America,Americas,L,FC,VH,Private not for Profit,92.9,54,91,68,100,7,47.1,402,28.3,602,62,326,46.2,450,90.8,163,95.6,73,77.6,205,79,22,18,80.4,65.1,78.8,88.4,86.8,70.4,62.4,1838,17000,27,13,0,0,24,188,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Private,188,0.525959368,Good,Top 100,0.671936759,0.475975976
63,62,City University of Hong Kong,"Hong Kong SAR, China",Asia,M,CO,VH,Public,75.5,109,46.7,284,94.8,75,100,2,100,16,100,5,100,2,64.5,628,48.5,356,75.2,232,78.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.523702032,Good,Top 100,0.624505929,0.475975976
63,68,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38,94.2,54,38.8,522,70.9,209,25.3,647,59.2,346,63.1,313,67.1,587,100,11,88.4,74,78.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.523702032,Good,Top 100,0.624505929,0.475975976
