Rank,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE,the_rank_2026,arwu_rank_2025,the_score,arwu_score,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,Total_Students,International_Students_Percentage,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,university_type,university_age,Overall_Score_Normalized,Performance_Category,Rank_Category,the_score_Normalized,arwu_score_Normalized
113,104,University of St Andrews,United Kingdom,Europe,M,FO,VH,Public,61.5,165,74.9,127,63.8,278,51.3,368,98.8,131,99.7,47,99.7,36,87.7,208,28.9,575,86.2,97,66.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.241534989,Good,Top 500,0.624505929,0.475975976
114,113,Aalto University,Finland,Europe,L,FO,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60,343,63.9,312,80.9,332,97.1,55,88.3,77,66.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.239277652,Good,Top 500,0.624505929,0.475975976
114,130,"University of California, Davis",United States of America,Americas,XL,FC,VH,Public,72.7,125,70.1,146,28.3,675,66.5,237,86.5,250,61.9,327,65.6,298,90.8,165,38,457,79.8,174,66.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.239277652,Good,Top 500,0.624505929,0.475975976
116,93,Pontificia Universidad Católica de Chile,Chile,Americas,L,FC,VH,Private not for Profit,98,36,98.6,29,35.1,562,14.2,801,42,482,7.8,801,11.9,801,81.2,328,99.9,13,80,169,66.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.23476298,Good,Top 500,0.624505929,0.475975976
116,117,University of Helsinki,Finland,Europe,L,CO,VH,Public,74.5,114,37.7,370,66.9,256,62.7,262,78.5,305,13.1,801,19.1,779,96.1,57,94.2,80,95.6,18,66.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.23476298,Good,Top 500,0.624505929,0.475975976
118,126,University College Dublin,Ireland,Europe,L,FC,VH,Public,66.5,149,57.6,204,19.7,801,62,272,99.5,112,89.6,170,90.5,144,89,188,92.2,88,91.7,49,66,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.232505643,Good,Top 500,0.624505929,0.475975976
119,141,Leiden University,Netherlands,Europe,XL,FC,VH,Public,80.4,97,46.3,288,30.3,629,64.9,249,89.7,225,68.4,288,50.9,408,94.3,93,61.2,263,58.6,530,65.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.225733634,Good,Top 500,0.624505929,0.475975976
119,141,Rice University,United States of America,Americas,M,CO,VH,Private not for Profit,50.6,221,51,245,74.9,196,81.6,148,91.3,215,96.6,104,96.8,91,66.3,605,45.7,381,81.5,156,65.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.225733634,Good,Top 500,0.624505929,0.475975976
119,119,University of Oslo,Norway,Europe,L,FC,VH,Public,67.8,143,27.7,498,78.4,176,67.7,232,95.8,167,46,439,34.3,560,96.8,43,86.6,129,72.3,286,65.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.225733634,Good,Top 500,0.624505929,0.475975976
119,115,University of Waterloo,Canada,Americas,XL,CO,VH,Public,53,209,74.2,130,8.8,801,88.3,108,81.5,283,76.6,247,78.9,219,83.5,285,72,201,90.5,60,65.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.225733634,Good,Top 500,0.624505929,0.475975976
123,114,Georgia Institute of Technology,United States of America,Americas,XL,CO,VH,Public,76,107,92.8,61,32.4,595,54.2,340,21.5,692,60.4,339,64.2,308,79,368,67.5,228,66.1,376,65.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.221218962,Good,Top 500,0.624505929,0.475975976
123,150,Indian Institute of Technology Delhi (IITD),India,Asia,M,FO,VH,Public,67.9,142,95,50,21.9,792,93.1,86,3.2,801,1.9,801,6.3,801,66.9,590,50.5,340,79.9,172,65.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.221218962,Good,Top 500,0.624505929,0.475975976
125,123,RMIT University,Australia,Oceania,XL,CO,VH,Public,55.1,202,60.3,191,7.2,801,91.3,96,100,45,95.2,125,95.5,106,83.1,292,49.9,345,87.9,80,65.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.216704289,Good,Top 500,0.624505929,0.475975976
126,123,Sungkyunkwan University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,68.4,139,75.6,125,83.8,149,62.3,269,24.2,659,57.6,359,61.6,326,49.5,801,44.2,400,74.7,243,65.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.214446953,Good,Top 500,0.624505929,0.475975976
126,138,Universiti Kebangsaan Malaysia (UKM),Malaysia,Asia,L,FC,VH,Public,76.2,106,76.4,119,78.7,174,30.1,587,50.1,439,94.7,129,94,114,86.1,235,35.5,485,74.7,243,65.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.214446953,Good,Top 500,0.624505929,0.475975976
128,132,Sapienza University of Rome,Italy,Europe,XL,FC,VH,Public,90.7,65,66.4,161,7.8,801,62.9,261,4,801,14.8,801,20.9,749,95.9,61,91.5,92,81.9,151,64.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.207674944,Good,Top 500,0.624505929,0.475975976
129,118,Indian Institute of Technology Bombay (IITB),India,Asia,L,FO,VH,Public,73.3,120,96.7,39,16.1,801,82.9,136,6.5,801,1.6,801,1.5,801,46.6,801,72.6,198,75.2,232,64.8,351,18,46.4,65.1,37.4,36.8,32.4,34.4,40.4,1958,10000,5,0,0,0,234.5,68,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,68,0.205417607,Good,Top 500,0,0.475975976
130,126,Humboldt-Universität zu Berlin,Germany,Europe,XL,FC,VH,Public,94.3,47,75.3,126,10.5,801,43.4,435,75.7,314,47.6,424,35.5,541,95,85,27.5,603,58.4,536,64.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.198645598,Good,Top 500,0.624505929,0.475975976
131,144,Aarhus University,Denmark,Europe,L,FC,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,19.1,777,96.3,52,79.4,164,73.2,271,64.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.194130926,Good,Top 500,0.624505929,0.475975976
132,150,University of Bath,United Kingdom,Europe,L,CO,VH,Public,48.9,233,81.6,100,20.5,801,75.9,173,95.6,170,86.8,187,88,156,85.3,250,50.7,337,83.8,127,64.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.191873589,Good,Top 500,0.624505929,0.475975976
132,133,University of Science and Technology of China,China (Mainland),Asia,L,CO,VH,Public,57.6,188,50.6,248,98.1,56,99.4,30,14.9,801,7.8,801,13.5,801,74.4,457,42.8,410,55.3,596,64.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.191873589,Good,Top 500,0.624505929,0.475975976
