qs_2025_rank,qs_2024_rank,qs_institution_name,qs_location,qs_location_full,qs_size,qs_academic_reputation,qs_employer_reputation,qs_faculty_student,qs_citations_per_faculty,qs_international_faculty,qs_international_students,qs_international_research_network,qs_employment_outcomes,qs_sustainability,qs_qs_overall_score,the_rank,the_name,the_scores_overall,the_scores_overall_rank,the_scores_teaching,the_scores_teaching_rank,unnamed_22,the_scores_research,the_scores_citations,the_scores_citations_rank,the_scores_industry_income,the_scores_industry_income_rank,the_scores_international_outlook,the_scores_international_outlook_rank,the_record_type,the_member_level,the_url,the_nid,the_location,the_stats_number_students,the_stats_student_staff_ratio,the_stats_pc_intl_students,the_stats_female_male_ratio,the_aliases,the_subjects_offered,the_closed,the_unaccredited,the_disabled,the_website_url,qs_rank_band,the_rank_band,qs_rank_clean,the_rank_clean,university_name,rank_difference,absolute_rank_difference,qs_rank_category,the_rank_category,ranking_comparison,academic_reputation_score,faculty_student_ratio_score,global_score
513,590,Prince Mohammad Bin Fahd university,SA,Saudi Arabia,S,20.3,23.0,23.1,27.8,100.0,18.8,23.3,2.8,1.2,23.7,Reporter,Prince Mohammad Bin Fahd University,,1000564,,0,,0,,0,,0,,0,master_account,11,/world-university-rankings/prince-mohammad-bin-fahd-university,648692,Saudi Arabia,2899,11.7,0.17,"2 days, 7:45:00",Prince Mohammad Bin Fahd University,"History, Philosophy & Theology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Architecture,Business & Management,Civil Engineering,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Chemical Engineering,Computer Science,Archaeology,Law",False,False,False,,513,Reporter,513.0,161.0,Prince Mohammad Bin Fahd university,26.0,84.5,Above 500,Unknown,Unavailable,20.3,23.1,24.72
513,481,University of Milano-Bicocca,IT,Italy,L,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,14.8,23.7,351â€“400,University of Milan-Bicocca,49.1â€“51.0,3830,27.8,817,26.0,571,91.1,106,66.7,512,47.0,890,master_account,0,/world-university-rankings/university-milan-bicocca,705,Italy,29943,29.8,0.05,"2 days, 14:38:00",University of Milan-Bicocca,"Physics & Astronomy,Sociology,Business & Management,Economics & Econometrics,Law,Accounting & Finance,Computer Science,History, Philosophy & Theology,Other Health,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Education,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Chemistry,Communication & Media Studies,Medicine & Dentistry,Languages, Literature & Linguistics",False,False,False,,513,351â€“400,513.0,161.0,University of Milano-Bicocca,26.0,84.5,Above 500,Unknown,Unavailable,20.4,3.3,24.66
516,563,Ateneo de Manila University,PH,Philippines,L,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,23.6,1001â€“1200,Ateneo de Manila University,28.3â€“32.6,10130,30.8,646,10.8,1544,52.4,952,27.6,1248,33.5,1372,master_account,0,/world-university-rankings/ateneo-de-manila-university,131786,Philippines,14168,11.1,0.01,"2 days, 4:48:00",Ateneo de Manila University,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Law,Psychology,Physics & Astronomy,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Biological Sciences,Sociology,Accounting & Finance,Art, Performing Arts & Design",False,False,False,,516,1001â€“1200,516.0,161.0,Ateneo de Manila University,26.0,84.5,Above 500,Unknown,Unavailable,21.4,24.4,24.62
516,529,Edith Cowan University,AU,Australia,L,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,5.8,23.6,351â€“400,Edith Cowan University,49.1â€“51.0,3640,23.7,1099,26.2,562,86.9,175,69.2,450,87.6,155,master_account,11,/world-university-rankings/edith-cowan-university,922,Australia,17965,29.8,0.24,"2 days, 14:38:00",Edith Cowan University ecu edith cowan,"Psychology,History, Philosophy & Theology,Sport Science,Electrical & Electronic Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Accounting & Finance,Sociology,Biological Sciences,Languages, Literature & Linguistics,Law,Communication & Media Studies,Education,Other Health,Civil Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Computer Science,General Engineering,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Mechanical & Aerospace Engineering",False,False,False,,516,351â€“400,516.0,161.0,Edith Cowan University,26.0,84.5,Above 500,Unknown,Unavailable,8.5,4.8,24.57
516,520,Kyungpook National University,KR,South Korea,L,11.1,16.7,66.9,20.5,11.1,25.7,52.0,10.6,60.6,23.6,501â€“600,Kyungpook National University,41.9â€“45.3,5510,33.2,535,38.1,284,51.5,979,96.2,100,50.2,798,master_account,11,/world-university-rankings/kyungpook-national-university,944,South Korea,18432,20.1,0.14,"1 day, 21:55:00",Kyungpook National University,"Architecture,Computer Science,Physics & Astronomy,General Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,History, Philosophy & Theology,Electrical & Electronic Engineering,Economics & Econometrics,Veterinary Science,Sociology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Archaeology,Chemical Engineering,Languages, Literature & Linguistics,Sport Science,Accounting & Finance,Business & Management,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Psychology,Mathematics & Statistics,Other Health,Education",False,False,False,,516,501â€“600,516.0,161.0,Kyungpook National University,26.0,84.5,Above 500,Unknown,Unavailable,11.1,66.9,24.63
516,523,University of Hull,UK,United Kingdom,L,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0,23.6,401â€“500,University of Hull,45.4â€“49.0,4380,27.4,849,24.3,637,74.3,457,59.8,649,85.4,185,master_account,0,/world-university-rankings/university-hull,781,United Kingdom,12305,18.0,0.21,"2 days, 8:44:00",University of Hull,"Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Chemical Engineering,Law,Medicine & Dentistry,Sport Science,Accounting & Finance,General Engineering,Chemistry,Education,Computer Science,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Civil Engineering,Geography",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-22394063,516,401â€“500,516.0,161.0,University of Hull,26.0,84.5,Above 500,Unknown,Unavailable,8.9,14.3,24.58
524,611-620,Pusan National University,KR,South Korea,L,18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8,65.0,23.4,501â€“600,Pusan National University,41.9â€“45.3,5760,39.2,329,39.1,260,45.1,1115,86.6,190,37.8,1206,master_account,0,/world-university-rankings/pusan-national-university,940,South Korea,17195,16.9,0.1,"2 days, 7:45:00",Pusan National University Busan,"General Engineering,Chemistry,Psychology,Medicine & Dentistry,Sport Science,Geography,Art, Performing Arts & Design,Other Health,Communication & Media Studies,Business & Management,Electrical & Electronic Engineering,Biological Sciences,Accounting & Finance,Computer Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Physics & Astronomy,Education,Architecture,Mathematics & Statistics,Law",False,False,False,,524,501â€“600,524.0,161.0,Pusan National University,26.0,84.5,Above 500,Unknown,Unavailable,18.7,43.5,24.37
527,480,Missouri University of Science and Technology,US,United States,M,4.0,6.1,5.7,86.2,35.2,12.8,30.5,4.8,1.7,23.2,401â€“500,Missouri University of Science and Technology,45.4â€“49.0,4550,33.2,537,28.7,501,69.6,566,88.1,179,72.4,372,public,0,/world-university-rankings/missouri-university-science-and-technology,131700,United States,7271,21.6,0.09,24 : 76,Missouri University of Science and Technology,"Archaeology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Education,Veterinary Science,Psychology,Geography,Mathematics & Statistics,Economics & Econometrics,General Engineering,Other Health,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Law,Chemical Engineering,Art, Performing Arts & Design,Architecture,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Agriculture & Forestry,Accounting & Finance,Sociology,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Civil Engineering,Biological Sciences",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-79806122,527,401â€“500,527.0,161.0,Missouri University of Science and Technology,26.0,84.5,Above 500,Unknown,Unavailable,4.0,5.7,24.18
527,509,University of Bayreuth,DE,Germany,M,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9.0,11.3,23.2,351â€“400,University of Bayreuth,49.1â€“51.0,3540,38.0,361,40.8,236,65.0,671,83.4,222,67.7,434,master_account,0,/world-university-rankings/university-bayreuth,881,Germany,8944,24.5,0.14,"1 day, 22:54:00",University of Bayreuth,"Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Business & Management,General Engineering,Sociology,History, Philosophy & Theology,Physics & Astronomy,Sport Science,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography",False,False,False,,527,351â€“400,527.0,161.0,University of Bayreuth,26.0,84.5,Above 500,Unknown,Unavailable,10.2,50.3,24.17
527,571,Warsaw University of Technology,PL,Poland,L,23.3,51.9,42.6,4.7,2.4,10.3,60.6,9.8,1.4,23.2,1201â€“1500,Warsaw University of Technology,22.8â€“28.2,14880,22.0,1232,19.6,835,33.3,1370,53.5,744,31.7,1440,master_account,0,/world-university-rankings/warsaw-university-technology,989,Poland,23167,17.1,0.07,32 : 68,Warsaw University of Technology,"Chemistry,General Engineering,Civil Engineering,Mathematics & Statistics,Business & Management,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Chemical Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences",False,False,False,,527,1201â€“1500,527.0,161.0,Warsaw University of Technology,26.0,84.5,Above 500,Unknown,Unavailable,23.3,42.6,24.2
