qs_2025_rank,qs_2024_rank,qs_institution_name,qs_location,qs_location_full,qs_size,qs_academic_reputation,qs_employer_reputation,qs_faculty_student,qs_citations_per_faculty,qs_international_faculty,qs_international_students,qs_international_research_network,qs_employment_outcomes,qs_sustainability,qs_qs_overall_score,the_rank,the_name,the_scores_overall,the_scores_overall_rank,the_scores_teaching,the_scores_teaching_rank,unnamed_22,the_scores_research,the_scores_citations,the_scores_citations_rank,the_scores_industry_income,the_scores_industry_income_rank,the_scores_international_outlook,the_scores_international_outlook_rank,the_record_type,the_member_level,the_url,the_nid,the_location,the_stats_number_students,the_stats_student_staff_ratio,the_stats_pc_intl_students,the_stats_female_male_ratio,the_aliases,the_subjects_offered,the_closed,the_unaccredited,the_disabled,the_website_url,qs_rank_band,the_rank_band,qs_rank_clean,the_rank_clean,university_name,rank_difference,absolute_rank_difference,qs_rank_category,the_rank_category,ranking_comparison,academic_reputation_score,faculty_student_ratio_score,global_score
531,571,Coventry University,UK,United Kingdom,XL,9.7,9.5,16.9,7.1,77.0,99.9,82.6,10.0,64.4,23.1,601â€“800,Coventry University,37.0â€“41.8,6380,20.9,1305,14.9,1132,69.6,565,26.8,1267,95.6,35,master_account,6,/world-university-rankings/coventry-university,131675,United Kingdom,32635,14.9,0.48,"2 days, 0:52:00",Coventry University,"Education,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Architecture,Business & Management,Biological Sciences,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Agriculture & Forestry,Chemistry,Sociology,Economics & Econometrics,Communication & Media Studies,Languages, Literature & Linguistics,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Law,Electrical & Electronic Engineering,General Engineering,Geography,Politics & International Studies (incl Development Studies)",False,False,False,,531,601â€“800,531.0,161.0,Coventry University,26.0,84.5,Above 500,Unknown,Unavailable,9.7,16.9,24.14
531,441,University of Utah,US,United States,XL,15.7,6.3,50.0,30.5,15.5,10.3,80.5,17.4,24.5,23.1,201â€“250,University of Utah,55.9â€“58.6,2470,43.5,232,38.5,271,87.0,174,83.5,221,40.9,1085,public,0,/world-university-rankings/university-utah,577,United States,31502,13.3,0.08,"2 days, 2:50:00",University of Utah,"Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Sociology,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Computer Science,Biological Sciences,Accounting & Finance,Civil Engineering,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Psychology,Agriculture & Forestry,General Engineering,Chemistry,Education",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-02638481,531,201â€“250,531.0,161.0,University of Utah,26.0,84.5,Above 500,Unknown,Unavailable,15.7,50.0,24.17
535,540,Lahore University of Management Sciences (LUMS),PK,Pakistan,S,17.2,73.2,27.1,7.4,12.2,1.8,19.5,37.0,1.1,22.9,801â€“1000,Lahore University of Management Sciences,32.7â€“36.9,9080,23.3,1131,16.7,992,60.2,774,43.1,919,53.0,714,master_account,0,/world-university-rankings/lahore-university-management-sciences-lums,131604,Pakistan,4735,14.2,0.02,"1 day, 19:57:00",Lahore University of Management Sciences,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Sociology,Other Health,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Accounting & Finance,Education,Chemical Engineering,Business & Management,Computer Science",False,False,False,,535,801â€“1000,535.0,161.0,Lahore University of Management Sciences (LUMS),26.0,84.5,Above 500,Unknown,Unavailable,17.2,27.1,23.91
535,465,University of Bordeaux,FR,France,XL,31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7,20.1,22.9,351â€“400,University of Bordeaux,49.1â€“51.0,3550,37.2,384,29.9,474,72.5,494,66.7,511,66.6,454,master_account,6,/world-university-rankings/university-bordeaux,131635,France,52643,21.7,0.14,"2 days, 12:40:00",University of Bordeaux,"Business & Management,Mathematics & Statistics,Agriculture & Forestry,Other Health,Medicine & Dentistry,Computer Science,Civil Engineering,Law,Accounting & Finance,Psychology,Education,Sociology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Archaeology,Physics & Astronomy,General Engineering,Chemistry,Sport Science,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies)",False,False,False,,535,351â€“400,535.0,161.0,University of Bordeaux,26.0,84.5,Above 500,Unknown,Unavailable,31.3,11.5,23.89
535,548,University of Eastern Finland,FI,Finland,L,13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2,78.6,22.9,501â€“600,University of Eastern Finland,41.9â€“45.3,5320,28.9,746,31.2,437,69.7,561,67.4,490,48.5,851,master_account,0,/world-university-rankings/university-eastern-finland,776,Finland,12237,18.5,0.05,"2 days, 19:33:00",University of Eastern Finland,"Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Geography,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,General Engineering,Sociology,Biological Sciences,Psychology,Computer Science,Education,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Law,Mathematics & Statistics,Business & Management",False,False,False,,535,501â€“600,535.0,161.0,University of Eastern Finland,26.0,84.5,Above 500,Unknown,Unavailable,13.8,43.7,23.92
539,481,Hitotsubashi University,JP,Japan,M,14.4,73.0,30.8,2.1,19.8,20.0,7.5,51.9,1.1,22.8,Reporter,Hitotsubashi University,,1000304,,0,,0,,0,,0,,0,master_account,0,/world-university-rankings/hitotsubashi-university,131617,Japan,5998,16.0,0.13,33 : 67,Hitotsubashi University,"Geography,Languages, Literature & Linguistics,Psychology,Politics & International Studies (incl Development Studies),Sport Science,Economics & Econometrics,Sociology,Mathematics & Statistics,Agriculture & Forestry,Accounting & Finance,Art, Performing Arts & Design,Education,Law,Communication & Media Studies,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Other Health,Biological Sciences,Computer Science",False,False,False,,539,Reporter,539.0,161.0,Hitotsubashi University,26.0,84.5,Above 500,Unknown,Unavailable,14.4,30.8,23.78
539,586,Sunway University,MY,Malaysia,S,13.0,39.2,44.0,10.3,35.9,33.2,51.1,3.9,27.3,22.8,601â€“800,Sunway University,37.0â€“41.8,7730,24.7,1033,14.6,1157,71.7,520,17.2,1740,78.3,279,master_account,0,/world-university-rankings/sunway-university,625947,Malaysia,4350,8.1,0.14,"2 days, 4:48:00",Sunway University,"Electrical & Electronic Engineering,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Communication & Media Studies,Computer Science,Business & Management,Other Health,Architecture,Education,Chemical Engineering,Accounting & Finance,Art, Performing Arts & Design,Psychology,Biological Sciences",False,False,False,,539,601â€“800,539.0,161.0,Sunway University,26.0,84.5,Above 500,Unknown,Unavailable,13.0,44.0,23.81
539,534,University of Salamanca,ES,Spain,L,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5,22.8,801â€“1000,University of Salamanca,32.7â€“36.9,9610,32.0,592,21.8,740,50.4,1013,39.9,981,53.6,701,master_account,0,/world-university-rankings/university-salamanca,131422,Spain,24707,14.7,0.13,"2 days, 13:39:00",University of Salamanca,"Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Psychology,Archaeology,Biological Sciences,Law,Electrical & Electronic Engineering,Chemistry,Education,Medicine & Dentistry,Agriculture & Forestry,Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Veterinary Science,Sociology,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Business & Management,Languages, Literature & Linguistics,Architecture,Chemical Engineering,Politics & International Studies (incl Development Studies)",False,False,False,,539,801â€“1000,539.0,161.0,University of Salamanca,26.0,84.5,Above 500,Unknown,Unavailable,26.9,26.0,23.84
531,641-650,University of Bradford,UK,United Kingdom,M,9.1,7.1,6.8,21.7,68.5,97.6,66.0,34.3,40.7,23.1,501â€“600,University of Bradford,41.9â€“45.3,5170,23.3,1128,22.4,714,73.8,466,58.1,677,90.1,127,master_account,0,/world-university-rankings/university-bradford,914,United Kingdom,8970,19.5,0.31,"2 days, 9:43:00",University of Bradford,"Psychology,Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Mathematics & Statistics,Archaeology,Law,Architecture,Communication & Media Studies,Civil Engineering,Chemistry,Computer Science,Other Health,Education,Politics & International Studies (incl Development Studies),Sociology,Sport Science,General Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Medicine & Dentistry,Business & Management",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-60961891,531,501â€“600,531.0,161.0,University of Bradford,26.0,84.5,Above 500,Unknown,Unavailable,9.1,6.8,24.17
641-650,681-690,East China University of Science and Technology,CN,China (Mainland),XL,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,2.5,-,601â€“800,East China University of Science and Technology,37.0â€“41.8,6440,29.9,693,25.8,579,60.2,769,87.1,186,23.2,1768,master_account,0,/world-university-rankings/east-china-university-science-and-technology,1039,China,30974,18.0,0.02,"1 day, 20:56:00",East China University of Science and Technology,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,General Engineering,Business & Management,Sport Science,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Agriculture & Forestry,Medicine & Dentistry,Chemistry,Economics & Econometrics,Chemical Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Computer Science,Mechanical & Aerospace Engineering,Biological Sciences,Sociology",False,False,False,,641-650,601â€“800,645.5,161.0,East China University of Science and Technology,26.0,84.5,Above 500,Unknown,Unavailable,6.9,11.8,20.54
547,530,University of Genoa,IT,Italy,L,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,39.5,22.6,401â€“500,University of Genoa,45.4â€“49.0,4300,36.1,422,28.3,509,78.0,366,73.4,359,47.3,879,master_account,0,/world-university-rankings/universita-degli-studi-di-genova,131638,Italy,21470,16.5,0.07,"2 days, 10:42:00",University of Genoa,"Business & Management,Architecture,Archaeology,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Law,Economics & Econometrics,Other Health,Electrical & Electronic Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemistry,Computer Science,General Engineering,Education,Mechanical & Aerospace Engineering,Sport Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Accounting & Finance,Civil Engineering,History, Philosophy & Theology,Communication & Media Studies,Chemical Engineering,Art, Performing Arts & Design",False,False,False,,547,401â€“500,547.0,161.0,University of Genoa,26.0,84.5,Above 500,Unknown,Unavailable,18.8,12.7,23.67
547,1201-1400,University of Iceland,IS,Iceland,M,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,5.9,22.6,501â€“600,University of Iceland,41.9â€“45.3,5430,23.4,1121,34.0,378,70.6,547,75.6,323,55.8,663,master_account,0,/world-university-rankings/university-iceland,749,Iceland,9899,17.0,0.12,"2 days, 20:32:00",University of Iceland,"Archaeology,Mathematics & Statistics,Languages, Literature & Linguistics,Chemical Engineering,Geography,Medicine & Dentistry,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Biological Sciences,Law,Other Health,Sport Science,Education,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Chemistry,Accounting & Finance,Psychology,Economics & Econometrics",False,False,False,,547,501â€“600,547.0,161.0,University of Iceland,26.0,84.5,Above 500,Unknown,Unavailable,6.8,99.9,23.68
547,641-650,University of Windsor,CA,Canada,L,3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8,38.5,22.6,501â€“600,University of Windsor,41.9â€“45.3,6020,28.7,761,29.8,478,56.7,854,60.7,630,90.8,120,master_account,0,/world-university-rankings/university-windsor,589268,Canada,14849,34.1,0.35,,University of Windsor,"Civil Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Sport Science,Business & Management,Other Health,Economics & Econometrics,Chemistry,Architecture,General Engineering,Agriculture & Forestry,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Communication & Media Studies,Education,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Physics & Astronomy",False,False,False,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-88327862,547,501â€“600,547.0,161.0,University of Windsor,26.0,84.5,Above 500,Unknown,Unavailable,3.9,2.2,23.61
552,611-620,Al Ain University,AE,United Arab Emirates,S,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2,22.5,Reporter,Al Ain University,,1000024,,0,,0,,0,,0,,0,master_account,0,/world-university-rankings/al-ain-university,700574,United Arab Emirates,2913,14.6,0.6,"2 days, 6:46:00",Al Ain University,"Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Business & Management,Art, Performing Arts & Design,Sport Science,Physics & Astronomy,Other Health,Law,Economics & Econometrics,Education,Electrical & Electronic Engineering,Architecture,Computer Science,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Geography,Civil Engineering,Sociology,Archaeology,Communication & Media Studies,Chemical Engineering,Chemistry,Biological Sciences,Medicine & Dentistry,Mathematics & Statistics",False,False,False,,552,Reporter,552.0,161.0,Al Ain University,26.0,84.5,Above 500,Unknown,Unavailable,22.6,13.4,23.59
552,,University of Tabriz,IR,"Iran, Islamic Republic of",L,5.9,5.0,3.4,81.7,1.5,6.8,71.8,5.3,1.2,22.5,501â€“600,University of Tabriz,41.9â€“45.3,5890,26.7,896,23.4,673,80.1,319,43.1,920,40.8,1091,master_account,0,/world-university-rankings/university-tabriz,624351,Iran,20177,26.7,0.04,"2 days, 4:48:00",University of Tabriz,"Medicine & Dentistry,Veterinary Science,Business & Management,Languages, Literature & Linguistics,Civil Engineering,Sociology,General Engineering,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Archaeology,Biological Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Geography,Electrical & Electronic Engineering,Chemistry,Law,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Sport Science,Psychology,Computer Science,Mathematics & Statistics,Education",False,False,False,,552,501â€“600,552.0,161.0,University of Tabriz,26.0,84.5,Above 500,Unknown,Unavailable,5.9,3.4,23.53
